Drug,Gene,ICD,gene_ICD_ref,gene_ICD_TRUE_FALSE,gene_ICD_sentence,drug_gene_ref,drug_gene_TRUE_FALSE,drug_gene_sentence,Observations,keep_new
REMOXIPRIDE,DRD2,ARTHRITIS,"Medline_26693483,Pmcoa_4677027",TRUE,Here we showed that lymphocyte DRD2 activation alleviates both imbalance of T-helper (Th)17/T-regulatory (Treg) cells and inflamed symptoms in a mouse arthritis model of RA. ,"Medline_24817271,Medline_15997230,Medline_10218872,Medline_7498321,Medline_8378244,Medline_7753765,Medline_8100193,Medline_1672458,Medline_11607043,Medline_7669486,Pmcoa_3602026,Medline_2895483,Patent_EP1578420A2,Patent_WO2004037783A2,Medline_21903866,Medline_9390726,Patent_US20080096926,Pmcoa_3893648,Pmcoa_4720788,Medline_1978494",TRUE,After oral administration of remoxipride 100 mg three times daily to a healthy male subject there was a 73% central D2-dopamine receptor occupancy. In a schizophrenic patient treated with remoxipride 200 mg twice daily there was a 71% occupancy,,keep
MECHLORETHAMINE HYDROCHLORIDE,DRD2,ARTHRITIS,"Medline_26693483,Pmcoa_4677027",TRUE,,"Medline_7820070,Patent_WO1997033550A2",FALSE,"The consequences of irreversibly-inhibiting D2 dopaminergic receptors on the expression of D1 and D2 dopamine receptor mRNAs and proenkephalin mRNA and on the levels of mu- and delta-opioid receptors in rat striatum were studied following single or repeated administration of the irreversibly-acting D2 dopamine receptor antagonist, fluphenazine-N-mustard (FNM).",,new
PROCHLORPERAZINE,DRD2,ARTHRITIS,"Medline_26693483,Pmcoa_4677027",TRUE,,"Patent_US20140066438A1,Patent_US20140066438,Medline_28853295,Medline_23064063,Pmcoa_5387065",TRUE,"Background Oral prochlorperazine, a dopamine D2 receptor antagonist, is largely metabolized to sulphoxide, 7-hydroxylate and N-desmethylate by cytochrome P450s (CYPs).",,new
AMISULPRIDE,DRD2,ARTHRITIS,"Medline_26693483,Pmcoa_4677027",TRUE,,"Patent_EP2732820A1,Patent_WO2008008433A2,Patent_WO2008127717A1,Patent_EP2038252A2,Patent_EP2136815A1,Patent_WO2008011073A2,Patent_WO2008024456A3,Patent_WO2008130571A1,Patent_EP2054049A2,Patent_US20110237664,Patent_EP2040709A2,Patent_US7772433,Patent_EP3147278A1,Patent_US8853266,Pmcoa_4726702,Pmcoa_3992878,Pmcoa_4755747",TRUE,"Furthermore, the short-arm phenotypic response to food was suppressed by antagonizing DRD2 with amisulpride, suggesting that dopamine functions downstream of algal sensation.",,new
TRIFLUOROPERAZINE DIHYDROCHLORIDE,DRD2,ARTHRITIS,"Medline_26693483,Pmcoa_4677027",TRUE,,"Medline_29066348,Medline_29580626",TRUE,We found that the dopamine receptor D2 antagonist trifluoperazine 2HCl inhibits growth and proliferation of GBM cells in a dose dependent manner.,Both references are “the same” (one is reprint of the other).,new
TIROFIBAN,DUSP2,ARTHRITIS,"Pmcoa_4222916,Pmcoa_5760626",TRUE,"Importantly, a lack of DUSP2 in immune cells suppresses the production of a variety of pro-inflammatory mediators in vitro [18] and reduces inflammation and disease pathology in a murine model of inflammatory arthritis [18].","Patent_US20150160213,Medline_16113794",TRUE,Tirofiban and eptifibatide inhibited massive platelet aggregation and PAC-1 binding which were induced by DHCA conditions.,,new
EPTIFIBATIDE,DUSP2,ARTHRITIS,"Pmcoa_4222916,Pmcoa_5760626",TRUE,,"Medline_16113794,Pmcoa_2812850",TRUE,Tirofiban and eptifibatide inhibited massive platelet aggregation and PAC-1 binding which were induced by DHCA conditions. ,"PMC reference is different, but Pubmed reference is the same as the one for tirofiban.",new
VORAPAXAR SULFATE,F2R,ARTHRITIS,"Pmcoa_3872103,Medline_15818676",TRUE,"Three of these members, PAR1, PAR3, and PAR4, are cleaved by thrombin, whereas PAR2 is cleaved by trypsin. The various physiological or pathogenic effects of thrombin are due to the widespread expression of thrombin receptors in many cells [15]. Increase in thrombin receptor mRNA in arthritis has been reported [16].","Pmcoa_3262324,Patent_US20080234236,Medline_19699853,Patent_US20160045506,Patent_US20170281710,Patent_WO2014152715A1,Pmcoa_3817733,Medline_20926621,Patent_EP2488026A1,Medline_20170841,Patent_EP2990051A1,Medline_19332592,Patent_EP2416799B1,Medline_21353434,Medline_19882073,Medline_21248619,Patent_US20170035734,Medline_18447380,Medline_21935705,Medline_21090833,Patent_US9789087,Patent_EP2990051B1,Patent_US20170065668,Patent_EP3061460A1,Patent_EP2440191A2,Patent_US20180000784,Patent_US20120141586,Patent_US20120121706,Patent_WO2010118435A2,Patent_WO2010144339A2,Patent_EP2416799A2,Patent_US20150023975,Pmcoa_2800923,Patent_US20120184504,Patent_WO2011041217A1,Patent_US9376499,Pmcoa_5545188,Patent_EP2134344A1,Patent_WO2008118320A1",TRUE,"SCH 530348 (also known as vorapaxar), an orally active, low-molecular weight, nonpeptide, competitive PAR-1 antagonist (tricyclic 3-phenylpyridine antagonist) potently inhibits thrombin-induced platelet aggregation without affecting measures of coagulation or increasing bleeding time.",,keep
DESMOPRESSIN ACETATE,F8,ARTHRITIS,"Medline_19781067,Pmcoa_2787264,Patent_EP1724286A1,Patent_US20090104202,Patent_US20060019340,Patent_US20090093053,Patent_US7534605,Patent_US20110207678,Patent_US8193311,Patent_US7883857,Patent_US7901909,Medline_29438784,Pmcoa_3978877",FALSE,"Following radioiodination, F8-IL10 was able to selectively target arthritic lesions and tumor neo-vascular structures in mice, as evidenced by autoradiographic analysis and quantitative biodistribution studies. ","Pmcoa_3030021,Pmcoa_3166073,Medline_9184393,Medline_8322282,Medline_8854570,Medline_25698197,Medline_8547104,Medline_2394244,Pmcoa_4834776",-,,,keep
DDAVP NASAL SPRAY,F8,ARTHRITIS,"Medline_19781067,Pmcoa_2787264,Patent_EP1724286A1,Patent_US20090104202,Patent_US20060019340,Patent_US20090093053,Patent_US7534605,Patent_US20110207678,Patent_US8193311,Patent_US7883857,Patent_US7901909,Medline_29438784,Pmcoa_3978877",FALSE,,"Medline_25698197,Pmcoa_4834776",-,,,keep
"ANTIHEMOPHILIC FACTOR (RECOMBINANT), PLASMA/ALBUMIN FREE METHOD",F8,ARTHRITIS,"Medline_19781067,Pmcoa_2787264,Patent_EP1724286A1,Patent_US20090104202,Patent_US20060019340,Patent_US20090093053,Patent_US7534605,Patent_US20110207678,Patent_US8193311,Patent_US7883857,Patent_US7901909,Medline_29438784,Pmcoa_3978877",FALSE,,"Pmcoa_4737295,Patent_EP2729161A2,Patent_WO2013009627A2",-,,,keep
ATOMOXETINE,FOS,ARTHRITIS,"Medline_20950869,Pmcoa_2976746,Medline_16437739",FALSE," In the adjuvant-induced arthritis Lewis rat model, we examined the dynamics of c-Fos expression in the hippocampus, a brain region important for these symptoms.","Medline_12431845,Patent_EP1458368B1,Patent_US20050009925,Patent_EP1458368A1,Patent_WO2005053663A2,Patent_WO2003049724A1,Medline_22119060",-,,,keep
CHEMBL444478,FOS,ARTHRITIS,"Medline_20950869,Pmcoa_2976746,Medline_16437739",FALSE,,"Pmcoa_3851776,Medline_24324641,Pmcoa_4560509",-,,,keep
POLYHISTIDINE,FOS,ARTHRITIS,"Medline_20950869,Pmcoa_2976746,Medline_16437739",FALSE,,"Patent_US20050159354,Patent_US20100095387,Pmcoa_2172957",-,,,keep
MEPYRAMINE,FOS,ARTHRITIS,"Medline_20950869,Pmcoa_2976746,Medline_16437739",FALSE,,"Medline_12925217,Medline_12873950",-,,,keep
ANAMORELIN HYDROCHLORIDE,GHSR,ARTHRITIS,"Medline_28636167,Medline_16030067",TRUE,Antagonists of ghrelin/growth hormone secretagogue receptor 1 (a subtype of cortistatin receptor) almost completely abolished the ameliorative effect of berberine on arthritis and Th17 cell responses in rats.,"Pmcoa_4248409,Pmcoa_3012235,Pmcoa_4538579,Medline_25267366",TRUE,"Based on these findings, the ghrelin receptor agonist anamorelin hydrochloride has recently been introduced for therapy of cancer-induced cachexia (currently in phase III clinical trials for treatment of cancer cachexia in non-small-cell lung cancer).",,new
DESERPIDINE,GSK3B,ARTHRITIS,"Pmcoa_2650783,Pmcoa_4277409",TRUE,"Importantly, GSK3β is central to the promotion of inflammation in various inflammatory diseases including colitis and arthritis","Pmcoa_5742885,Medline_25632187",FALSE,,,keep
CETIRIZINE,KNG1,ARTHRITIS,"Medline_11930961,Pmcoa_1781638,Patent_WO2007142431A1,Patent_US20150320761,Pmcoa_4421925",TRUE,Our previous results showed that nitric oxide (NO) and bradykinin (BK) mediate the arthritis induced by Bothrops jararaca venom (BjV) in rabbits.,"Medline_10782524,Medline_11003455,Medline_8886862,Medline_1362160",TRUE,"Moreover, cetirizine reduced significantly BK-induced wheals by 70% for IDT (P < 0.01) and 65% for PT (P < 0.01).","But also refering to BK, not KNG1",keep
INDAPAMIDE,KNG1,ARTHRITIS,"Medline_11930961,Pmcoa_1781638,Patent_WO2007142431A1,Patent_US20150320761,Pmcoa_4421925",TRUE,,"Medline_2109928,Medline_1656721",FALSE, The reduced relaxation to bradykinin was reversed in a concentration-dependent manner by indapamide (10(-7) to 10(-5) mol/liter).,,new
MERCAPTOPROPIONYLGLYCINE,KNG1,ARTHRITIS,"Medline_11930961,Pmcoa_1781638,Patent_WO2007142431A1,Patent_US20150320761,Pmcoa_4421925",TRUE,,"Pmcoa_2919536,Medline_20670410",FALSE,"Adenosine (80 ± 9% of baseline) and bradykinin (83 ± 4% of baseline) induced postconditioning (P < 0.0001 vs control), N-mercaptopropionylglycine abolished the beneficial effects of adenosine and bradykinin (54 ± 8 and 58 ± 5% of baseline, respectively).",,new
EMTRICITABINE,LTB4R,ARTHRITIS,"Pmcoa_2118298,Medline_16670336,Medline_20656922,Medline_29042029,Pmcoa_4502828,Patent_US20110059885",TRUE,"However, here we demonstrate a unique, non-redundant role for the leukotriene B4 receptor BLT1 in mediating neutrophil recruitment into the joint in the K/BxN mouse model of inflammatory arthritis","Pmcoa_3887103,Pmcoa_3380612,Pmcoa_2194746",FALSE,"We measured persistent HIV throughout the body during ART using bone marrow/liver/thymus (BLT) humanized mice, a model validated to study HIV persistence. HIV infected BLT mice were treated with tenofovir, emtricitabine and raltegravir.",,keep
GEDATOLISIB,MAP2K7,ARTHRITIS,"Pmcoa_3392838,Medline_28890347",TRUE,MKK7 plays a critical regulatory role in the JNK pathway in a murine model of arthritis.,"Pmcoa_4896852,Medline_22261591",FALSE,-,,keep
TRAMETINIB DIMETHYL SULFOXIDE,MAP2K7,ARTHRITIS,"Pmcoa_3392838,Medline_28890347",TRUE,,"Pmcoa_3681492,Clinicaltrial_NCT02281760,Pmcoa_6214970,Pmcoa_5438648,Medline_26200476,Patent_EP3331558A1,Pmcoa_5347684,Pmcoa_5737399,Patent_US20180228740,Patent_US20180228740A1,Medline_23237773,Pmcoa_6281416",TRUE,"Actually, JTP-74057/GSK1120212/trametinib has recently been demonstrated to be a first-in-MEK inhibitor able to improve the progression-free survival of BRAF-mutated advanced melanoma patients with its ideal pharmacological and pharmacokinetic profile.",,new
CHEMBL56564,MAPK14,ARTHRITIS,"Pmcoa_2235846,Pmcoa_1860061,Medline_28674435,Medline_22488549",TRUE,"Two of the 21 candidate genes were reported to be involved in arthritis. Mapk14, a candidate gene for locus 8 and also called p38 mitogen-activated protein kinase (MAPK) alpha, regulates the production of arthritis-essential cytokines, such as tumour necrosis factor and interleukin-1 [32]. ","Medline_22664143,Medline_23285267,Pmcoa_3532400",TRUE,"Additionally, we found that tropisetron prevents the phosphorylation and thus activation of the p38 MAPK, which is involved in post-transcriptional regulation of various cytokines.",,new
PYRIDINYLIMIDAZOLE,MAPK14,ARTHRITIS,"Pmcoa_2235846,Pmcoa_1860061,Medline_28674435,Medline_22488549",TRUE,,"Patent_WO2003093487A1,Medline_12127515,Patent_EP1112070B1,Patent_WO2000070030A1,Patent_EP1112070A1,Patent_US6589758,Patent_WO2002094842A2,Patent_EP2395004B1,Patent_US20130303534,Patent_US7863288,Patent_US20130261117,Patent_US20150290205,Patent_US8470818,Patent_EP1893612A1,Patent_WO2007002433A1,Patent_EP2395004A2,Patent_US8415469,Patent_US20100249118,Patent_US8143271,Patent_US20110059963,Patent_EP3088400A1,Patent_US20100256365,Patent_US20120022098,Patent_US20120053177,Medline_11459290,Patent_US20060105445",TRUE,"For the inhibition of p38 MAP kinase, pyridinylimidazole compound (SB203580) was utilized.",,new
ANGIOTENSIN 1-7,MAS1,ARTHRITIS,"Pmcoa_3272821,Pmcoa_4997264",TRUE,We have recently shown that Mas receptor activation decreased neutrophil migration and accumulation in models of arthritis,"Medline_28194766,Pmcoa_4582995,Pmcoa_4692500",TRUE,"A review of recent publications (2013-2016) on the rapidly progressing research on angiotensin 1-7 revealed that MAS1 and two additional receptors can function as 'angiotensin 1-7 receptors', and this deserves further consideration.",,keep
B 2050,NOS1,ARTHRITIS,"Pmcoa_4602262,Medline_16437739",TRUE,The total neuronal NOS (nNOS) levels were increased in muscles both from collagen-induced arthritis (CIA) mice and patients with RA.,"Medline_16023276,Medline_25046820,Patent_WO2010025266A1",FALSE,-,,keep
AC1LCVOZ,NOS1,ARTHRITIS,"Pmcoa_4602262,Medline_16437739",TRUE,,"Pmcoa_3190348,Medline_19103678,Pmcoa_2734311,Pmcoa_4488016",FALSE,-,,new
BENZENESULFONYL FLUORIDE,NPPB,ARTHRITIS,"Medline_23511225,Pmcoa_3963600",TRUE,A number of previous studies have shown that NT-pro-BNP concentrations are elevated in RA compared with population controls.26 27 Some of these have also noted an association between inflammation and NT-pro-BNP levels.25–27 ,"Patent_US20090215182,Patent_US9482677",FALSE,-,"Only patent references, impossible to proove it true or false.",new
ETORPHINE,OPRM1,ARTHRITIS,"Medline_27857662,Pmcoa_5109000",TRUE,(…) confirm the important role of spinal mOR in decreasing hyperalgesia during the chronic phase (arthritic phase) of AA. ,"Medline_15363980,Medline_2847851,Patent_EP1476155A2,Patent_US20040024005,Patent_WO2003061594A2,Medline_9450614,Medline_9350996,Medline_27707973,Medline_16417975,Medline_8799185,Medline_18599439,Pmcoa_4270172,Medline_8780231,Pmcoa_1947952,Medline_2986029,Medline_29183835,Medline_18930741",TRUE,"Taken together, these results suggest that etorphine-induced down-regulation may depend upon mu-opioid receptor degradation and changes in dynamin-2-mediated receptor trafficking.",,keep
TAPENTADOL,OPRM1,ARTHRITIS,"Medline_27857662,Pmcoa_5109000",TRUE,,"Pmcoa_5680940,Medline_24488603,Medline_29029015,Medline_21262850",TRUE,Tramadol and tapentadol combine these noradrenergic and serotonergic effects with mu opioid receptor activity. ,,keep
SUFENTANIL,OPRM1,ARTHRITIS,"Medline_27857662,Pmcoa_5109000",TRUE,,"Patent_EP1476155A2,Patent_US20040024005,Patent_WO2003061594A2,Medline_15780604,Medline_10781014,Medline_12044452,Medline_10497906,Medline_11299311,Medline_26342648,Patent_US20130158074,Patent_US8226978,Patent_US8535714,Patent_US8865743,Patent_EP3072504A1,Patent_US20080268023,Patent_US20090131479,Patent_US20130165481,Patent_US9744129,Patent_US20100105735,Patent_US20170259051,Patent_EP2114383B1,Patent_US20100256190,Patent_US8778394,Patent_US20100137836,Patent_US20120035216,Patent_US20130090594,Patent_US20140350054,Patent_US20160213606,Patent_US9642996,Patent_US20150105424,Patent_US9320710,Patent_US8778393,Patent_US8202535,Patent_US8231900",TRUE,"We have previously demonstrated that chronic and simultaneous treatment of rats with the mu-opioid receptor agonist sufentanil and the Ca(2+) channel blocker nimodipine, not only prevented tolerance development, but the animals became supersensitive to the antinociceptive effect of the opioid.",,keep
GSK-1521498,OPRM1,ARTHRITIS,"Medline_27857662,Pmcoa_5109000",TRUE,,"Medline_22752384,Medline_23934621,Pmcoa_3835938,Pmcoa_4282435,Pmcoa_3858811,Pmcoa_4537503",TRUE,"This study assessed the effects of 4-weeks of treatment with the MOR antagonist GSK1521498 on hedonic evaluation and consumption of food, binge-eating severity and body weight in obese people with binge-eating symptoms. ",,keep
TIANEPTINE,OPRM1,ARTHRITIS,"Medline_27857662,Pmcoa_5109000",TRUE,,"Medline_29073492,Patent_WO2017165738A1",TRUE,"Use of tianeptine, a mu-opioid receptor agonist was significantly associated with a lower risk of suicidal ideation worsening compared with other antidepressants in the first 6 weeks of treatment.",,keep
SAMIDORPHAN,OPRM1,ARTHRITIS,"Medline_27857662,Pmcoa_5109000",TRUE,,"Patent_US9283196,Patent_US20160031844,Patent_US9284291,Pmcoa_4679873",TRUE,"Perhaps the most compelling clinical data supporting antidepressant effects of KOR antagonists come from a recent study in which a combination of buprenorphine and the potent MOR antagonist samidorphan administered to subjects with treatment resistant MDD resulted in significant and substantial antidepressant activity without addictive potential (Ehrich et al., 2015).",,keep
MEROPENEM,OPRM1,ARTHRITIS,"Medline_27857662,Pmcoa_5109000",TRUE,,"Pmcoa_4519154,Pmcoa_5626926",FALSE," It should be mentioned here that the imipenem molecule itself is not exported by any of the efflux systems of P. aeruginosa while meropenem and doripenem are substrates for MexAB-OprM (Maseda et al., 2000; Masuda et al., 2000; Okamoto et al., 2002)",,keep
CARFENTANIL,OPRM1,ARTHRITIS,"Medline_27857662,Pmcoa_5109000",TRUE,,"Pmcoa_5754389,Medline_18762918,Medline_1965452,Pmcoa_4640219",TRUE,"In a study conducted by Jewett et al. [32], eight derivatives of [11C] carfentanil were evaluated as potential mOR agonists within the research for substances with better pharmacodynamics than the parent one.",,new
LEVALLORPHAN,OPRM1,ARTHRITIS,"Medline_27857662,Pmcoa_5109000",TRUE,,"Pmcoa_3189208,Patent_US20180153953,Patent_US20180153953A1",TRUE,"Fourth, nalbuphine, β-funaltrexamine and levallorphan were found to be partial agonists for the MOR. ",,new
LY2456302,OPRM1,ARTHRITIS,"Medline_27857662,Pmcoa_5109000",TRUE,,"Pmcoa_4368892,Patent_US20180153953,Patent_US20180153953A1",TRUE,"Because MOR antagonist activity may be observed at higher doses of LY2456302, the current study was designed to identify the dose at which LY2456302 produces MOR antagonism in healthy subjects, thus confirming that lower doses remain selective for KORs.",,new
DUVELISIB,PIK3CG,ARTHRITIS,"Medline_19734303,Patent_US20130267521,Patent_US20150111874,Patent_US20150105385,Patent_US20150225410,Patent_US9359365,Patent_US20170369511,Patent_US20170088553,Patent_US20160207940,Patent_US9751888,Patent_US9255108,Patent_US20160222016,Patent_US8940742,Patent_US9828377,Patent_WO2016054491A1,Patent_WO2017214269A1,Medline_16127437,Patent_EP2015752B1,Patent_EP2004654B1,Patent_US20130225629",TRUE,"Our data indicate that in addition to mediating the recruitment of inflammatory cells, PI3Kgamma is an important regulator of fibroblast-mediated joint destruction in RA and suggest that specific inhibitors of PI3Kgamma will interfere with the activation of RA synovial fibroblasts and reduce cartilage destruction in RA.","Medline_25258342,Pmcoa_4459446,Pmcoa_4197894",TRUE,"Of interest, the dual PI3K p110δ and p110γ inhibitor, IPI-145, also affects NK cells by promoting cell death [55].",,new
AS605240,PIK3CG,ARTHRITIS,"Medline_19734303,Patent_US20130267521,Patent_US20150111874,Patent_US20150105385,Patent_US20150225410,Patent_US9359365,Patent_US20170369511,Patent_US20170088553,Patent_US20160207940,Patent_US9751888,Patent_US9255108,Patent_US20160222016,Patent_US8940742,Patent_US9828377,Patent_WO2016054491A1,Patent_WO2017214269A1,Medline_16127437,Patent_EP2015752B1,Patent_EP2004654B1,Patent_US20130225629",TRUE,,"Pmcoa_3725284,Patent_US9512114,Patent_US9518046,Medline_18025236,Medline_19950590,Medline_20056919,Medline_19907415,Patent_US20160318914,Pmcoa_5777124,Medline_19494508,Pmcoa_2731529,Medline_21866628,Patent_US20160318913,Medline_22534961,Pmcoa_3425729,Patent_US9314485,Patent_US20100034786,Patent_EP2094837B1,Patent_US20150147304,Pmcoa_5220268",TRUE,"Importantly, selective inhibition of the p110γ isozyme of PI3K with AS605240 reduces adriamycin-mediated proteinuria and injury, suggesting that this kinase contributes to podocyte injury. ",,new
UPAMOSTAT,PLAU,ARTHRITIS,"Patent_US5444153,Patent_WO1991009124A1,Patent_US20030096733,Patent_WO2003033009A2,Pmcoa_154426,Medline_12716448,Pmcoa_4516528,Pmcoa_2991036,Pmcoa_2888184",TRUE,Accumulation of uPA locally in the joint cavity is a typical finding in erosive RA. uPA exerts potent arthritogenic properties and thus may be viewed as one of the essential mediators of joint inflammation.,"Pmcoa_3590684,Medline_23412098",TRUE,"Upamostat (WX-671) is the oral pro-drug of the active metabolite WX-UK1, a novel uPA inhibitor ",,new
UNOPROSTONE,PTGER2,ARTHRITIS,"Medline_16446378,Patent_US20150323528,Pmcoa_2118213,Patent_US9526782,Pmcoa_3859365,Patent_WO2017085198A1,Patent_WO2010009403A2,Pmcoa_3335257",TRUE,Inhibition of both PGE receptors (EP2 and EP4) suppressed inflammatory events and arthritis in CIA. These results suggest that both PGE2 and PGI2 participate in rheumatoid arthritis. ,"Patent_WO2011127064A2,Patent_EP2555749B1,Patent_US20130017243,Patent_US20160256382,Patent_US20150104491,Patent_EP2555749A2",FALSE,-,"Only patent references, impossible to proove it true or false.",new
TETRACAINE,RYR1,ARTHRITIS,"Pmcoa_5605300,Pmcoa_4602262",TRUE,"However, we have previously reported that the enhanced RyR1-mediated Ca2 + release was associated with a three-fold increase in the 3-NT levels on the RyR1 complex in skeletal muscle from mice with arthritis ","Pmcoa_2712967,Medline_19398777,Pmcoa_4141859",TRUE,"Finally, we confirmed that this passive efflux of calcium was blocked by tetracaine, an RYR1 antagonist [60], [61], revealing that the leak occurred via this receptor and was SR-derived [58], [62], [63].",,keep
ETHIODIZED OIL,SH2B2,ARTHRITIS,"Medline_8406862,Medline_1834576,Patent_US6159460,Medline_1428123,Medline_8513508,Medline_9214434",FALSE,Intraperitoneal (i.p.) injection of peptidoglycan-polysaccharide derived from group A streptococci (PG-APS) causes chronic arthritis with spontaneous remissions and exacerbations. ,"Pmcoa_5021746,Pmcoa_5331418",-,,,new
HYALURONIDASE RECOMBINANT HUMAN,TNFAIP6,ARTHRITIS,"Patent_US20160075750,Pmcoa_4721919,Pmcoa_165059,Medline_11696432,Patent_EP0567575B1,Patent_US20150355180,Patent_WO2014059178A1,Patent_EP1758607A1,Patent_US20070191269,Patent_WO2005060988A1",TRUE,"Also, administration of recombinant TSG-6 decreased experimentally-induced arthritis in several different models [28, 29]. ","Patent_US20140348817,Patent_US8846034,Patent_US20150218544,Patent_US9458442,Patent_US20130202583",FALSE,-,"Only patent references, impossible to proove it true or false.",new
ALDESLEUKIN,TNFRSF18,ARTHRITIS,"Pmcoa_3202109,Medline_27106763",TRUE,"Recent studies have shown that glucocorticoid-induced tumor necrosis factor-receptor-related protein (GITR) and its ligand (GITRL) are critically involved in the pathogenesis of autoimmune arthritis, but the role of GITRL/GITR signaling in modulating CD4(+) follicular helper T (Tfh) cell response during autoimmune arthritis remains largely unclear.","Pmcoa_5422719,Patent_WO2017033025A1",TRUE,Proleukin helped to maintain expression frequencies of CD137 and GITR on peripheral Treg over 18 h and promoted an increase in the frequency of OX40 expressing peripheral Treg. ,"The references mention superfamily of tumor necrosis factor receptor, but not specifically TNFRSF18 (one of the superfamilies).",new
VANILLIN,TRPV3,ARTHRITIS,"Pmcoa_4981835,Medline_27563416",TRUE,It seems that the hyperalgesia variation during different phases of CFA-induced arthritis correlates with spinal TRPV3 expression variation on peptidergic fibers. ,"Pmcoa_3804614,Pmcoa_2645550,Pmcoa_3792369,Pmcoa_4240255",TRUE,"Although vanillin was previously shown to activate TRPV3 at high concentrations [42][43], the concentrations used in our study are considerably lower. Therefore, we hypothesize that other channels may be modulated by this substance.",,new
EPA ETHYL ESTER,APOB,ASEPTIC NECROSIS OF BONE,"Pmcoa_4282735,Pmcoa_4247152,Medline_17530370",TRUE,"In 2007, Hirata et al. [14] found ApoB gene polymorphism was associated with osteonecrosis. ","Patent_WO2015066512A1,Patent_US20140357717,Pmcoa_5282870,Medline_22819432,Patent_US20160058729",TRUE,"Levels of apolipoprotein B (apoB) were significantly reduced with Vascepa 4 g/day in MARINE (P = 0.0019) and ANCHOR (P <0.0001) [7, 8].",,keep
PRAVASTATIN SODIUM,APOB,ASEPTIC NECROSIS OF BONE,"Pmcoa_4282735,Pmcoa_4247152,Medline_17530370",TRUE,,"Medline_3106756,Patent_US20060068015,Patent_EP1680086A2,Patent_US20050096390,Patent_WO2006037348A1,Patent_WO2005034908A2",TRUE,The fall in cholesterol was mainly due to a decrease in very-low-density lipoprotein (VLDL) and LDL cholesterol; high-density lipoprotein (HDL) cholesterol increased. Apolipoprotein B was reduced dramatically (by 21.7% to 30.5% with cholestyramine and 27.7% to 37.4% with pravastatin).,,keep
[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].CSCC[C@H](NC(=O)[C@H](C)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@@H](N)CCCCN)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](CCCCNC(=O)[C@@H]1N=CC[C@H]1C)C(O)=O.COCCO[C@H]1[C@@H](O)[C@H](COP([O-])(=O)S[C@H]2[C@H](COP([O-])(=O)S[C@H]3[C@H](COP([O-])(=O)S[C@H]4[C@H](COP([O-])(=O)S[C@@H]5[C@@H](COP([O-])(=O)S[C@H]6C[C@@H](O[C@@H]6COP([O-])(=O)S[C@H]6C[C@@H](O[C@@H]6COP([O-])(=O)S[C@H]6C[C@@H](O[C@@H]6COP([O-])(=O)S[C@H]6C[C@@H](O[C@@H]6COP([O-])(=O)S[C@H]6C[C@@H](O[C@@H]6COP([O-])(=O)S[C@H]6C[C@@H](O[C@@H]6COP([O-])(=O)S[C@H]6C[C@@H](O[C@@H]6COP([O-])(=O)S[C@H]6C[C@@H](O[C@@H]6COP([O-])(=O)S[C@H]6C[C@@H](O[C@@H]6COP([O-])(=O)S[C@H]6C[C@@H](O[C@@H]6COP([O-])(=O)S[C@@H]6[C@@H](COP([O-])(=O)S[C@@H]7[C@@H](COP([O-])(=O)S[C@@H]8[C@@H](COP([O-])(=O)S[C@@H]9[C@@H](COP([O-])(=O)S[C@@H]%10[C@@H](CO)O[C@H]([C@@H]%10OCCOC)n%10cnc%11c%10nc(N)[nH]c%11=O)O[C@H]([C@@H]9OCCOC)n9cc(C)c(N)nc9,APOB,ASEPTIC NECROSIS OF BONE,"Pmcoa_4282735,Pmcoa_4247152,Medline_17530370",TRUE,,"Pmcoa_5090806,Pmcoa_4345304,Pmcoa_5341404",TRUE,"The second generation technology eventually led to the development of Kynamro®, a FDA-approved anti-apolipoprotein B (ApoB) AON for homozygous FH, in 2013 (discussed below).",The drug refered by the formula ir probably Mipomersen/Kynamro and the chemical formula will probably never be found. Should I change the Drug column?,new
FLUCLOXACILLIN,CYP3A,ASEPTIC NECROSIS OF BONE,"Medline_17787012,Medline_19997828",TRUE," Thus, suppression of CYP3A activity significantly increased vulnerability to steroid-induced osteonecrosis, while increased CYP3A activity reduced this vulnerability.","Medline_30447161,Pmcoa_6329626",TRUE,"Additionally, the strong inhibition in CYP3A‐catalysed flucloxacillin metabolism by sulfaphenazole suggests that unanticipated drug–drug interactions could occur with coadministered drugs.",,new
PLECONARIL,CYP3A,ASEPTIC NECROSIS OF BONE,"Medline_17787012,Medline_19997828",TRUE,,"Medline_16467135,Medline_16397289",TRUE, Observed changes in midazolam AUC(0-infinity) and systemic clearance suggest that oral pleconaril increased hepatic CYP3A activity in healthy adults.,,new
ATAZANAVIR,CYP3A,ASEPTIC NECROSIS OF BONE,"Medline_17787012,Medline_19997828",TRUE,,"Medline_15353575,Medline_24118434,Pmcoa_3857057,Clinicaltrial_NCT01772563",TRUE,"Similar to other PIs, atazanavir is metabolized by and inhibits CYP3A at clinically relevant concentrations; therefore, many potential drug interactions exist.",,new
