"","Drug","Gene","ICD","gene_ICD_ref","drug_gene_ref"
"289","TAP 85","ERBB2","BONE PAGET DISEASE","Medline_21030863,Medline_20418225","Pmcoa_2721847,Medline_12439862"
"290","2,4-DINITROPHENYL","ERBB2","BONE PAGET DISEASE","Medline_21030863,Medline_20418225","Patent_US20170009305,Patent_EP3108006B1,Pmcoa_3487810"
"291","IPATASERTIB","ERBB2","BONE PAGET DISEASE","Medline_21030863,Medline_20418225","Patent_EP2694071A1,Patent_EP2694485A1,Patent_WO2012135781A1"
"292","DAPIVIRINE","ERVW-4","SCLERODERMA","Medline_25231203,Pmcoa_4349946","Pmcoa_3155237,Pmcoa_1635531"
"293","AC1O44J0","ERVW-4","SCLERODERMA","Medline_25231203,Pmcoa_4349946","Pmcoa_1913497,Pmcoa_3874200"
"294","ICI 164,384","ESR2","AGE RELATED OSTEOPOROSIS","Medline_15758417,Patent_EP2486010A2,Patent_US20120202861,Patent_US8710243,Patent_WO2011042473A2","Medline_9658195,Patent_EP0798378B1,Patent_EP1162264A2,Patent_EP0798378A3,Patent_US7060490"
"295","CHEMBL316048","ESR2","AGE RELATED OSTEOPOROSIS","Medline_15758417,Patent_EP2486010A2,Patent_US20120202861,Patent_US8710243,Patent_WO2011042473A2","Pmcoa_4429669,Pmcoa_5375646,Medline_17412808,Pmcoa_5778111,Medline_22114194"
"296","ERTEBEREL","ESR2","AGE RELATED OSTEOPOROSIS","Medline_15758417,Patent_EP2486010A2,Patent_US20120202861,Patent_US8710243,Patent_WO2011042473A2","Medline_25348255,Medline_27126081,Pmcoa_4850367"
"297","CHEMBL198877","ESR2","AGE RELATED OSTEOPOROSIS","Medline_15758417,Patent_EP2486010A2,Patent_US20120202861,Patent_US8710243,Patent_WO2011042473A2","Pmcoa_3257646,Pmcoa_4365176,Pmcoa_5173158,Patent_US08668914,Medline_27323858,Pmcoa_3506265,Patent_US8668914,Pmcoa_5476244,Medline_24368316,Medline_23088310,Patent_US20180028491A1,Patent_US20170176440,Patent_US20170176440A1,Pmcoa_5486016,Patent_EP1569636B1,Patent_US20120269793,Patent_US10111855,Patent_US20110091435,Patent_US20140135387,Patent_EP2063898A1,Patent_US8580846,Patent_US20140135387A1,Patent_EP2305272A1,Patent_US08580846,Patent_US9889116,Pmcoa_6151770,Patent_US20120269793A1,Patent_EP2135074B1"
"298","OXYBENZONE","ESR2","AGE RELATED OSTEOPOROSIS","Medline_15758417,Patent_EP2486010A2,Patent_US20120202861,Patent_US8710243,Patent_WO2011042473A2","Pmcoa_6057512,Pmcoa_5840254,Medline_28357806,Pmcoa_5948252"
"299","DYDROGESTERONE","ESR2","AGE RELATED OSTEOPOROSIS","Medline_15758417,Patent_EP2486010A2,Patent_US20120202861,Patent_US8710243,Patent_WO2011042473A2","Medline_22878119,Medline_27138353"
"300","[3H]17BETA-ESTRADIOL","ESR2","AGE RELATED OSTEOPOROSIS","Medline_15758417,Patent_EP2486010A2,Patent_US20120202861,Patent_US8710243,Patent_WO2011042473A2","Pmcoa_2944088,Medline_20427257"
"301","DIENOGEST","ESR2","AGE RELATED OSTEOPOROSIS","Medline_15758417,Patent_EP2486010A2,Patent_US20120202861,Patent_US8710243,Patent_WO2011042473A2","Medline_18061638,Pmcoa_3541078,Medline_23113924,Medline_22878119"
"302","CHEMBL3414621","EZH2","AGE RELATED OSTEOPOROSIS","Pmcoa_5670205,Medline_26307668","Medline_27135271,Pmcoa_5451150,Medline_29473431,Patent_WO2017192290A1,Pmcoa_5525007,Pmcoa_5805807,Medline_29524617,Pmcoa_5297148,Patent_WO2017100362A2,Pmcoa_4938529,Pmcoa_5842271,Medline_27555605,Pmcoa_5568712,Patent_EP3220916A1,Patent_WO2016081523A1,Pmcoa_5663065,Medline_28292935,Patent_US20170360797,Patent_WO2017053930A2,Patent_WO2017218953A1,Pmcoa_4720493,Medline_29141919,Pmcoa_5836460"
"303","XIMELAGATRAN","F10","ANTI PHOSPHOLIPID ANTIBODY SYNDROME","Pmcoa_4365552,Medline_25864630,Medline_25890027,Medline_17114499,Medline_8578503","Medline_26123214,Patent_EP2158202A1,Patent_WO2006107258A1,Patent_WO2008039139A1,Patent_WO2016162785A1,Patent_EP1869056A1,Patent_EP2069364B1,Patent_US20100035899,Patent_US20150099769,Patent_WO2007142577A1,Patent_EP1824855B1,Patent_EP2029598A1,Patent_EP2121020A2,Patent_US20080312311,Patent_US20090131459,Patent_US20090247555,Patent_US20100226918,Patent_US7947693,Patent_US9580429,Patent_EP2167487B1,Medline_12768805,Patent_US7829707,Patent_US8026244,Patent_US7960395,Patent_WO2008152420A1,Patent_EP1869056B1,Patent_EP2069364A1,Patent_US20110059996,Patent_EP2010535B1,Patent_US20080221133,Patent_US8158785,Patent_WO2008039138A1,Patent_WO2009120140A1,Patent_EP2010535A1,Patent_US20090149475,Patent_EP2029603A1,Patent_US20090286813,Patent_US20110092519,Patent_US20110105537,Patent_WO2006062465A1,Patent_EP2069365A1,Patent_US20090124637,Patent_US20090124640,Patent_US8088780,Patent_WO2006107257A1,Patent_WO2016162787A1,Patent_EP1869055A1,Patent_US20080194527,Patent_US20120100204,Patent_US7943625,Patent_US9440992,Patent_EP2010534A1,Patent_US20080318981,Patent_US7910576,Patent_EP1824855A1,Patent_US20080221136,Patent_US20100099642,Patent_WO2008099144A2,Patent_US20080214578,Patent_US8859568,Patent_WO2007142576A1"
"304","DAREXABAN","F10","ANTI PHOSPHOLIPID ANTIBODY SYNDROME","Pmcoa_4365552,Medline_25864630,Medline_25890027,Medline_17114499,Medline_8578503","Pmcoa_3295208,Medline_27121937,Medline_22031623,Pmcoa_5850258,Medline_22040919,Medline_22382330,Medline_23929659,Medline_25438755,Medline_22616561,Medline_23211396,Medline_23167531,Medline_23754514,Medline_21878434,Medline_22642721,Medline_23200896,Medline_27128609,Medline_23591155,Pmcoa_3283221"
"305","PROTAMINE SULFATE","F10","ANTI PHOSPHOLIPID ANTIBODY SYNDROME","Pmcoa_4365552,Medline_25864630,Medline_25890027,Medline_17114499,Medline_8578503","Medline_1335615,Medline_1658966,Pmcoa_4969935,Medline_21297450"
"306","BETRIXABAN","F10","ANTI PHOSPHOLIPID ANTIBODY SYNDROME","Pmcoa_4365552,Medline_25864630,Medline_25890027,Medline_17114499,Medline_8578503","Patent_US20150224091,Pmcoa_3595681,Pmcoa_3743339,Pmcoa_4548753,Pmcoa_4428103,Patent_US8404724,Patent_WO2013033370A1,Patent_US20080153876,Pmcoa_3283221,Pmcoa_3763648,Patent_US20080279845,Patent_US20110033459,Patent_US9062298,Patent_US20130230901,Patent_WO2008137787A2,Patent_WO2010117729A1,Patent_WO2013123087A1,Patent_US20150025011,Patent_US8455441,Medline_27881569,Medline_29338293,Patent_US20150057228,Patent_WO2010056765A2,Patent_EP2146705B1,Patent_EP2414517A1,Patent_EP2453910B1,Patent_US20120095019,Patent_US20140044773,Patent_EP3121271A1,Patent_US20110015128,Patent_US8268783,Patent_WO2012031018A1,Patent_WO2017211779A1,Patent_US20170233711,Patent_US9056106,Pmcoa_3782407,Medline_19132191,Medline_29543384,Patent_EP2586439A1,Patent_US20140079684,Patent_US9388401,Medline_23964817,Patent_EP2146705A2,Patent_EP3078743A1,Patent_US20140134151,Patent_US20140323497,Patent_US20170240879,Patent_US20090098119,Patent_EP2414517B1,Patent_EP2453910A1,Patent_US20100125052,Patent_US9587233,Patent_EP2193196B1,Patent_EP2364165B1,Patent_US20100255000,Patent_US20120269788,Patent_WO2011008885A1,Patent_EP3254674A1,Patent_US20150376592,Patent_US8153590,Patent_US9023796,Patent_EP2915564A1,Patent_US9109046,Patent_EP2814955A1,Patent_US20130129693,Patent_US8946219,Patent_US20170014492,Patent_US8455439,Pmcoa_4489817,Patent_EP2193196A2,Patent_EP2364165A2,Patent_US20160002617,Patent_US20160354449,Patent_US8889129,Pmcoa_3158856,Pmcoa_4762436,Patent_EP1948608A2,Patent_EP1948608B1"
"307","EDOXABAN TOSYLATE HYDRATE","F10","ANTI PHOSPHOLIPID ANTIBODY SYNDROME","Pmcoa_4365552,Medline_25864630,Medline_25890027,Medline_17114499,Medline_8578503","Medline_21143166,Patent_WO2015028919A1,Patent_US20150065456,Patent_EP3038620A1,Patent_US20150272935,Patent_EP3238721A1,Patent_EP3189838A1,Patent_WO2015150950A1,Medline_24459178,Pmcoa_4069048,Pmcoa_2923345,Medline_17938815,Medline_18624979,Medline_17729190"
"308","DANAPAROID","F10","ANTI PHOSPHOLIPID ANTIBODY SYNDROME","Pmcoa_4365552,Medline_25864630,Medline_25890027,Medline_17114499,Medline_8578503","Pmcoa_4267589,Pmcoa_2447588,Medline_18302088,Pmcoa_5348796,Medline_9546248,Pmcoa_4531015,Medline_19546589,Pmcoa_3603166,Medline_22160026,Medline_22465921,Pmcoa_3159255,Pmcoa_4089702,Pmcoa_3994409,Medline_20694716,Pmcoa_4404719"
"309","IDARUCIZUMAB","F10","ANTI PHOSPHOLIPID ANTIBODY SYNDROME","Pmcoa_4365552,Medline_25864630,Medline_25890027,Medline_17114499,Medline_8578503","Pmcoa_6058271,Pmcoa_4663607"
"310","LY 517717","F10","ANTI PHOSPHOLIPID ANTIBODY SYNDROME","Pmcoa_4365552,Medline_25864630,Medline_25890027,Medline_17114499,Medline_8578503","Pmcoa_4199558,Medline_17408408"
"311","EDOXABAN","F10","ANTI PHOSPHOLIPID ANTIBODY SYNDROME","Pmcoa_4365552,Medline_25864630,Medline_25890027,Medline_17114499,Medline_8578503","Medline_26962981,Medline_27169733,Pmcoa_4774265,Pmcoa_6198300,Pmcoa_5368456,Pmcoa_5694183,Pmcoa_5134224,Pmcoa_5099547,Medline_20694273,Medline_24736694,Medline_25809373,Patent_US20160251341A1,Pmcoa_4034065,Pmcoa_6032109,Pmcoa_6260118,Medline_26369340,Medline_30486661,Patent_EP3261639A1,Patent_US20170296521,Pmcoa_3991206,Pmcoa_4889207,Pmcoa_5586309,Pmcoa_6221054,Medline_20170841,Medline_23615159,Medline_24293106,Medline_27217759,Medline_27590218,Patent_EP3189838A1,Patent_US20160251341,Pmcoa_4488474,Pmcoa_4671349,Pmcoa_4853158,Pmcoa_5572042,Pmcoa_6096030,Pmcoa_6281489,Medline_21209229,Medline_25294589,Medline_25791908,Medline_27853809,Medline_30586727,Patent_US20150272935,Pmcoa_3781304,Pmcoa_4962499,Pmcoa_4963402,Pmcoa_5404284,Pmcoa_5545142,Pmcoa_5600416,Medline_20723033,Medline_21946952,Medline_23784266,Medline_25596250,Medline_26345573,Medline_27817212,Medline_29663464,Pmcoa_3556834,Pmcoa_4316611,Pmcoa_5749368,Medline_20934556,Medline_25403645,Medline_26676209,Medline_27283743,Medline_27530188,Medline_30278787,Pmcoa_3158856,Pmcoa_5409223,Pmcoa_6046589,Medline_20807664,Medline_21136011,Medline_22546231,Medline_26466666,Medline_27040624,Medline_29754512,Patent_US9809546,Pmcoa_4223565,Medline_26974491,Medline_28077507,Patent_US20180214418A1,Patent_US20180237421,Pmcoa_4230169,Pmcoa_4881922,Pmcoa_5799060,Medline_23064240,Medline_27288116,Medline_30039978,Pmcoa_3148601,Pmcoa_5850258,Pmcoa_6201390,Pmcoa_6349177,Medline_20534818,Medline_22647432,Medline_26188924,Medline_28151543,Medline_28943551,Patent_US20150272935A1,Pmcoa_3988190,Pmcoa_4696409,Pmcoa_5015407,Medline_21740079,Medline_22564122,Medline_23932349,Medline_23991658,Medline_24973057,Medline_26298619,Pmcoa_4068782,Pmcoa_4380099,Pmcoa_4997690,Medline_23673387,Medline_26680560,Medline_30343300,Patent_US20180214418,Pmcoa_3710481,Pmcoa_4101192,Pmcoa_4802446,Pmcoa_6052035,Medline_20081065,Medline_23768448,Medline_26560872,Medline_29131074,Medline_29661489,Patent_US20170296521A1,Patent_US20180237421A1,Pmcoa_3974569,Pmcoa_4762436,Pmcoa_4846777,Medline_23391669,Medline_24810388,Patent_EP3377176A1,Pmcoa_4149394,Pmcoa_4732387,Pmcoa_5635304,Medline_26068927,Medline_27106009,Patent_US20180311256,Pmcoa_3333460,Medline_22924409,Medline_22999414,Medline_24947287,Medline_25047458,Medline_25179572,Medline_26271200,Medline_26835091,Medline_27358434,Medline_29704172,Medline_30172099,Patent_US20180311256A1,Pmcoa_4189339,Pmcoa_5579781,Pmcoa_6273828,Pmcoa_5835442,Pmcoa_6272050,Pmcoa_5453680,Medline_26861270,Pmcoa_5085276,Medline_28239036,Patent_EP3149163A1,Medline_26060808,Medline_30017860,Pmcoa_4422295,Pmcoa_4460340,Medline_26835064,Patent_US20170157223A1,Pmcoa_5965920,Patent_US20170157223,Pmcoa_4731839,Pmcoa_5697642,Pmcoa_5986671,Medline_25703514,Pmcoa_4906081,Medline_23023509,Pmcoa_3150805,Pmcoa_3569592,Pmcoa_4503583,Medline_29488150,Medline_26952877,Medline_28713563,Medline_27592622,Medline_25374671,Medline_25792448,Pmcoa_4593020,Pmcoa_5210384,Pmcoa_4191267,Pmcoa_5437010,Medline_27350265,Medline_25855704,Medline_27121940,Pmcoa_5874076,Pmcoa_4567236,Pmcoa_4858545,Pmcoa_4553175,Pmcoa_3595681,Pmcoa_4875962"
"312","GAMMA-CARBOXYGLUTAMIC ACID","F10","ANTI PHOSPHOLIPID ANTIBODY SYNDROME","Pmcoa_4365552,Medline_25864630,Medline_25890027,Medline_17114499,Medline_8578503","Patent_EP2453910B1,Patent_US20100255000,Patent_US8889129,Patent_US9109046,Patent_US20150025011,Patent_US20160354449,Patent_US20090098119,Patent_US20140134151,Patent_US20170233711,Patent_US9023796,Patent_US9062298,Patent_EP3121271A1,Patent_US20130129693,Patent_US8455439,Patent_US9056106,Patent_US20120269788,Patent_US8455441,Patent_US20110015128,Patent_US20100125052,Patent_US20160002617,Patent_EP2193196B1,Patent_EP3078743A1,Patent_US20150057228,Patent_EP2915564A1,Patent_EP2414517B1,Patent_US20140044773,Patent_US9388401,Patent_US9587233,Patent_EP2364165B1,Patent_US20140079684,Patent_US20170014492,Patent_US8153590,Patent_US8268783,Patent_WO2014116275A1,Patent_WO2011008885A1,Patent_US20150352194,Patent_US20070225223,Patent_US7662923,Patent_US20030100506,Patent_US20090275123,Patent_US20140113330,Patent_US7750120,Patent_US20090280107,Patent_US8415457,Patent_US20070066531,Patent_US20080026994,Patent_US20090281027,Patent_US7612188,Medline_23455714,Pmcoa_5423471,Patent_US20050075291,Patent_US20090280554,Patent_US20100311658,Patent_US7479551,Patent_US20080004216,Patent_US20130172259,Patent_US8048990,Patent_US7314917,Pmcoa_5874076,Patent_US7220837,Patent_US8415458,Patent_US9266931,Patent_US20070225224,Patent_US7247708,Patent_US8642738,Patent_EP2305802A1,Patent_US20060264373,Patent_US20070161561"
"313","CC[C@H](C)[C@H](NC(=O)[C@H](CCC(O)=O)NC(=O)[C@H](CCC(O)=O)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(O)=O)NC(=O)CNC(=O)[C@H](CC(O)=O)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](Cc1cnc[nH]1)NC(=O)[C@H](CO)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCCN)NC(=O)[C@@H]1CCCN1C(=O)[C@@H](NC(=O)CNC(=O)[C@H](CCC(O)=O)NC(=O)CNC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H]1CSSC[C@@H]2NC(=O)[C@@H](NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CO)NC(=O)CNC(=O)[C@H](CCC(O)=O)NC(=O)[C@H](CSSC[C@H](NC(=O)[C@H](CCCCN)NC(=O)[C@H](CC(N)=O)NC(=O)CNC(=O)[C@H](CCC(N)=O)NC(=O)CNC2=O)C(=O)N[C@@H]([C@@H](C)CC)C(=O)N[C@@H](CC(C)C)C(=O)NCC(=O)N[C@@H](CO)C(=O)N[C@@H](CC(O)=O)C(=O)NCC(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N1)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H]1CSSC[C@H](NC(=O)[C@H](CC(O)=O)NC(=O)[C@@H](NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@@H](NC(=O)[C@@H](N)C(C)C)C(C)C)[C@@H](C)O)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](CO)C(=O)NCC(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CC","F10","ANTI PHOSPHOLIPID ANTIBODY SYNDROME","Pmcoa_4365552,Medline_25864630,Medline_25890027,Medline_17114499,Medline_8578503","Patent_US20150272899,Patent_US9545383,Patent_EP2471946B1,Patent_EP2471946A1,Medline_23613095,Pmcoa_4763479"
"314","BEMIPARIN","F10","ANTI PHOSPHOLIPID ANTIBODY SYNDROME","Pmcoa_4365552,Medline_25864630,Medline_25890027,Medline_17114499,Medline_8578503","Pmcoa_4963402,Pmcoa_5397544,Medline_9622211"
"315","ERIBAXABAN","F10","ANTI PHOSPHOLIPID ANTIBODY SYNDROME","Pmcoa_4365552,Medline_25864630,Medline_25890027,Medline_17114499,Medline_8578503","Medline_18096830,Medline_27119575,Medline_18392334,Medline_23782955,Medline_17683371"
"316","SEMULOPARIN","F10","ANTI PHOSPHOLIPID ANTIBODY SYNDROME","Pmcoa_4365552,Medline_25864630,Medline_25890027,Medline_17114499,Medline_8578503","Patent_EP2585078A1,Patent_EP2585079A1,Patent_EP2585080A1,Patent_US20130102566,Patent_US20130102565,Patent_WO2011161228A1,Patent_WO2011161234A1,Patent_WO2012000899A1,Patent_WO2011161235A1,Patent_EP2555788A1,Patent_EP2968393A2,Patent_US20130196911,Patent_US9029328,Patent_US20160076026,Patent_US20150343023,Patent_WO2011119836A1,Patent_WO2014140911A2,Medline_9031463"
"317","DABIGATRAN ETEXILATE","F10","ANTI PHOSPHOLIPID ANTIBODY SYNDROME","Pmcoa_4365552,Medline_25864630,Medline_25890027,Medline_17114499,Medline_8578503","Medline_23117667,Pmcoa_3556861,Pmcoa_4132966,Pmcoa_3228673,Pmcoa_3693821,Medline_19550318,Medline_24605405,Medline_21421599,Medline_22465061,Medline_23695644,Medline_23818798,Pmcoa_4224738"
"318","CHEMBL220050","F10","ANTI PHOSPHOLIPID ANTIBODY SYNDROME","Pmcoa_4365552,Medline_25864630,Medline_25890027,Medline_17114499,Medline_8578503","Medline_17420122,Medline_18645410"
"319","VORAPAXAR SULFATE","F2R","ARTHRITIS","Pmcoa_3872103,Medline_15818676","Pmcoa_3262324,Patent_US20080234236,Patent_WO2014152715A1,Medline_19699853,Patent_US20170281710,Pmcoa_3817733,Patent_US20160045506,Medline_18447380,Medline_21935705,Patent_EP2990051A1,Patent_US20120121706,Patent_US9376499,Medline_20170841,Patent_EP2488026A1,Medline_21090833,Patent_EP2416799B1,Patent_US20120141586,Patent_US20120184504,Medline_19332592,Patent_US20170065668,Medline_21353434,Patent_EP2440191A2,Patent_US20150023975,Medline_20926621,Patent_EP2990051B1,Patent_EP3061460A1,Pmcoa_5545188,Patent_US20170035734,Patent_WO2011041217A1,Patent_US9789087,Patent_WO2010118435A2,Patent_WO2010144339A2,Pmcoa_2800923,Patent_EP2416799A2,Patent_US20180000784,Medline_19882073,Medline_21248619,Patent_WO2008118320A1"
"320","ATOPAXAR","F2R","ARTHRITIS","Pmcoa_3872103,Medline_15818676","Pmcoa_3347779,Medline_22781741,Medline_22845871,Pmcoa_4107436,Pmcoa_3297361,Medline_22871190,Pmcoa_5318326,Pmcoa_5070322,Pmcoa_4351406"
"321","COPPER PHENANTHROLINE","F8","ARTHRITIS","Medline_19781067,Pmcoa_2787264,Patent_EP1724286A1,Patent_US20090104202,Patent_US20060019340,Patent_US20090093053,Patent_US7534605,Patent_US20110207678,Patent_US8193311,Patent_US7883857,Patent_US7901909,Medline_29438784,Pmcoa_3978877","Patent_EP0321835A2,Patent_EP0321835B1,Patent_US5356878,Patent_US5177191"
"322","TOLVAPTAN","F8","ARTHRITIS","Medline_19781067,Pmcoa_2787264,Patent_EP1724286A1,Patent_US20090104202,Patent_US20060019340,Patent_US20090093053,Patent_US7534605,Patent_US20110207678,Patent_US8193311,Patent_US7883857,Patent_US7901909,Medline_29438784,Pmcoa_3978877","Pmcoa_4458340,Pmcoa_5613036"
"323","ANTIHEMOPHILIC FACTOR (RECOMBINANT), PLASMA/ALBUMIN FREE METHOD","F8","ARTHRITIS","Medline_19781067,Pmcoa_2787264,Patent_EP1724286A1,Patent_US20090104202,Patent_US20060019340,Patent_US20090093053,Patent_US7534605,Patent_US20110207678,Patent_US8193311,Patent_US7883857,Patent_US7901909,Medline_29438784,Pmcoa_3978877","Pmcoa_4737295,Patent_EP2729161A2,Patent_WO2013009627A2"
"324","DESMOPRESSIN SPRAY","F8","ARTHRITIS","Medline_19781067,Pmcoa_2787264,Patent_EP1724286A1,Patent_US20090104202,Patent_US20060019340,Patent_US20090093053,Patent_US7534605,Patent_US20110207678,Patent_US8193311,Patent_US7883857,Patent_US7901909,Medline_29438784,Pmcoa_3978877","Medline_25698197,Pmcoa_4834776"
"325","DESMOPRESSIN ACETATE","F8","ARTHRITIS","Medline_19781067,Pmcoa_2787264,Patent_EP1724286A1,Patent_US20090104202,Patent_US20060019340,Patent_US20090093053,Patent_US7534605,Patent_US20110207678,Patent_US8193311,Patent_US7883857,Patent_US7901909,Medline_29438784,Pmcoa_3978877","Pmcoa_3030021,Pmcoa_3166073,Medline_9184393,Medline_8322282,Medline_8854570,Medline_25698197,Medline_8547104,Medline_2394244,Pmcoa_4834776"
"326","TUROCTOCOG ALFA","F8","ARTHRITIS","Medline_19781067,Pmcoa_2787264,Patent_EP1724286A1,Patent_US20090104202,Patent_US20060019340,Patent_US20090093053,Patent_US7534605,Patent_US20110207678,Patent_US8193311,Patent_US7883857,Patent_US7901909,Medline_29438784,Pmcoa_3978877","Patent_US9125890,Patent_EP2841091A1,Patent_EP2841451A1,Patent_US20160318991,Patent_US20150045303,Patent_EP3008084A2,Patent_WO2014198699A2,Patent_WO2013160005A1,Patent_US20140018297,Patent_US20150080309,Patent_US20160120954,Patent_WO2013083858A1,Patent_US20160207977,Pmcoa_4378277"
"327","5-AMINOLEVULINATE","F8","ARTHRITIS","Medline_19781067,Pmcoa_2787264,Patent_EP1724286A1,Patent_US20090104202,Patent_US20060019340,Patent_US20090093053,Patent_US7534605,Patent_US20110207678,Patent_US8193311,Patent_US7883857,Patent_US7901909,Medline_29438784,Pmcoa_3978877","Patent_US20050089972,Patent_WO2005012498A2,Medline_18062242"
"328","DDAVP NASAL SPRAY","F8","ARTHRITIS","Medline_19781067,Pmcoa_2787264,Patent_EP1724286A1,Patent_US20090104202,Patent_US20060019340,Patent_US20090093053,Patent_US7534605,Patent_US20110207678,Patent_US8193311,Patent_US7883857,Patent_US7901909,Medline_29438784,Pmcoa_3978877","Medline_25698197,Pmcoa_4834776"
"329","GERANYL DIPHOSPHATE","FDPS","AGE RELATED OSTEOPOROSIS","Patent_EP2234608A2,Patent_EP2543368A1,Medline_26314394","Pmcoa_5433224,Patent_WO1999019460A1,Patent_US5876964"
"330","DIMETHYLALLYL DIPHOSPHATE","FDPS","AGE RELATED OSTEOPOROSIS","Patent_EP2234608A2,Patent_EP2543368A1,Medline_26314394","Pmcoa_6177712,Pmcoa_6270112"
"331","ISOPENTENYL DIPHOSPHATE","FDPS","AGE RELATED OSTEOPOROSIS","Patent_EP2234608A2,Patent_EP2543368A1,Medline_26314394","Patent_US20060194274,Patent_US20060194274A1,Pmcoa_4980996,Patent_US20080139449"
"332","TALABOSTAT","FGF21","ARTHRITIS","Medline_28273637,Medline_25601498,Medline_26424095","Pmcoa_5034526,Pmcoa_6323180"
"333","FERRIC CARBOXYMALTOSE","FGF23","KAWASAKI DISEASE","Medline_24168888,Pmcoa_3832880","Pmcoa_5353490,Pmcoa_5419608"
"334","CHEMBL3039566","FGF23","KAWASAKI DISEASE","Medline_24168888,Pmcoa_3832880","Pmcoa_4499607,Pmcoa_4997947"
"335","SEVELAMER HYDROCHLORIDE","FGF23","KAWASAKI DISEASE","Medline_24168888,Pmcoa_3832880","Pmcoa_3769980,Medline_23787550,Medline_16076378"
"336","LANTHANUM CARBONATE","FGF23","KAWASAKI DISEASE","Medline_24168888,Pmcoa_3832880","Medline_21436379,Pmcoa_4170220,Medline_24885942,Pmcoa_5509238,Pmcoa_3379863,Pmcoa_4107721"
"337","MONOSODIUM MONOPHOSPHATE","FGF23","KAWASAKI DISEASE","Medline_24168888,Pmcoa_3832880","Pmcoa_3435395,Pmcoa_4431583,Pmcoa_5036900,Pmcoa_4275463"
"338","SEVELAMER","FGF23","KAWASAKI DISEASE","Medline_24168888,Pmcoa_3832880","Medline_28064234,Medline_22137672,Medline_23599381,Pmcoa_3108253,Pmcoa_6024824,Medline_23594676,Pmcoa_6135647,Medline_30237994,Pmcoa_5565373,Pmcoa_3917706,Pmcoa_3354624,Pmcoa_4151863,Pmcoa_4090671"
"339","BUROSUMAB","FGF23","KAWASAKI DISEASE","Medline_24168888,Pmcoa_3832880","Pmcoa_5826173,Patent_US20150353633,Patent_EP3151859A1,Medline_29947083,Pmcoa_6223702,Medline_29679282,Pmcoa_6073187"
"340","DOXERCALCIFEROL","FGF23","KAWASAKI DISEASE","Medline_24168888,Pmcoa_3832880","Pmcoa_4361624,Pmcoa_3339443"
"341","LY-2874455","FGFR1","CHRONIC ULCERATIVE COLITIS","Medline_28928792,Pmcoa_5591922","Pmcoa_5019380,Medline_27618313"
"342","3-{4-METHYL-2-[(2-OXO-2,3-DIHYDRO-1H-INDOL-3-YL)METHYL]-1H-PYRROL-3-YL}PROPANOIC ACID","FGFR1","CHRONIC ULCERATIVE COLITIS","Medline_28928792,Pmcoa_5591922","Medline_17905520,Patent_WO2010114398A1"
"343","ANLOTINIB","FGFR1","CHRONIC ULCERATIVE COLITIS","Medline_28928792,Pmcoa_5591922","Pmcoa_5051080,Medline_29454091,Pmcoa_5735020"
"344","LUCITANIB","FGFR1","CHRONIC ULCERATIVE COLITIS","Medline_28928792,Pmcoa_5591922","Medline_28751448,Patent_WO2017203042A1,Pmcoa_5167242"
"345","NAPROXEN SODIUM","FLG","PSORIASIS","Medline_22407025,Medline_18193244,Pmcoa_4565663,Pmcoa_3043053","Medline_28892018,Pmcoa_5618597"
"346","SMALLPOX VACCINE","FLG","PSORIASIS","Medline_22407025,Medline_18193244,Pmcoa_4565663,Pmcoa_3043053","Medline_28081250,Pmcoa_5231274"
"347","IMC-EB10","FLT3","ARTHRITIS","Medline_23349985,Pmcoa_3549988,Medline_18982072,Pmcoa_2575855,Patent_EP2694515B1,Patent_US20150210696,Patent_US9284318","Medline_15105287,Pmcoa_4419636"
"348","AKN-028","FLT3","ARTHRITIS","Medline_23349985,Pmcoa_3549988,Medline_18982072,Pmcoa_2575855,Patent_EP2694515B1,Patent_US20150210696,Patent_US9284318","Patent_US20150125447,Patent_WO2015067570A2,Pmcoa_3432483"
