"Source","Target","Confidence","Documents","Doc_IDs"
"TBCA","ARTHRITIS",92.575774952045,166,"Pmcoa_4309564,Pmcoa_4624173,Pmcoa_4718022,Patent_WO2004070383A2,Patent_US20050002929,Patent_US7867475,Pmcoa_4831368,Pmcoa_2121144,Pmcoa_2658012,Medline_28057980,Patent_US20040219573,Pmcoa_4082847,Pmcoa_5183772,Pmcoa_3690261,Pmcoa_4217248,Pmcoa_4921641,Pmcoa_4002747,Pmcoa_5538698,Pmcoa_4982016,Pmcoa_2198969,Pmcoa_3994116,Medline_24241037,Medline_20099767,Medline_27418913,Medline_26728771,Medline_23052184,Medline_27857662,Medline_29274626,Patent_EP2029614B1,Medline_24955640,Medline_25386561,Medline_27671330,Medline_24878853,Medline_3257989,Patent_EP1742626A2,Patent_EP2331498B1,Patent_EP2183239A1,Patent_EP2331499B1,Patent_EP2349256A1,Patent_EP2379496A1,Patent_EP2649072A1,Patent_EP2029614A2,Patent_EP2379521B1,Patent_EP2331498A2,Patent_EP2183239B1,Patent_EP2331499A1,Patent_EP2349256B1,Patent_EP2379521A1,Patent_EP2379496B1,Patent_US20080027029,Patent_US20090264474,Patent_US20100093788,Patent_US20100048619,Patent_US20100160289,Patent_US20100048589,Patent_US20080287398,Patent_US20140243329,Patent_US20120053347,Patent_US20130040920,Patent_US20100292276,Patent_US20100160337,Patent_US20130237547,Patent_US20150196533,Patent_US20140100194,Patent_US20140128428,Patent_US4996194,Patent_US8558011,Patent_US20120184510,Patent_US20140088098,Patent_US20140315899,Patent_US20120149699,Patent_US20120136006,Patent_US20120190674,Patent_US8148422,Patent_US8153682,Patent_US8143259,Patent_US8324217,Patent_US8629281,Patent_US8653099,Patent_US9067935,Patent_US8748478,Patent_US9233947,Patent_US7897781,Patent_US9096521,Patent_US9090639,Patent_WO2010080397A1,Patent_WO2010080398A1,Patent_WO2005115370A2,Patent_US8436041,Patent_US8809327,Patent_US8217060,Patent_US8232409,Patent_US8618150,Patent_US8912234,Patent_WO2009012430A1,Patent_WO2010132247A1,Pmcoa_3849791,Patent_US9434711,Patent_WO2010021878A1,Patent_WO2012078994A1,Pmcoa_3316675,Pmcoa_3543361,Pmcoa_3922964,Patent_WO2010021882A2,Pmcoa_3193721,Pmcoa_2678995,Patent_WO2017098236A1,Pmcoa_4357970,Pmcoa_1175031,Patent_WO2008033894A2,Patent_WO2010045166A1,Pmcoa_3835890,Pmcoa_3336857,Pmcoa_3472237,Pmcoa_4718045,Pmcoa_3823018,Pmcoa_3877999,Pmcoa_3137566,Pmcoa_3763645,Pmcoa_4002463,Pmcoa_4981835,Pmcoa_5884001,Pmcoa_2825258,Pmcoa_3202504,Pmcoa_3834430,Pmcoa_4930286,Pmcoa_4947834,Pmcoa_4175889,Pmcoa_4681046,Pmcoa_4693284,Pmcoa_3634005,Pmcoa_3509186,Pmcoa_4390336,Pmcoa_4599030,Pmcoa_4980935,Pmcoa_4863544,Pmcoa_4941798,Pmcoa_5264234,Pmcoa_3677619,Pmcoa_4271671,Pmcoa_4508365,Pmcoa_3736400,Pmcoa_3092582,Pmcoa_5429077,Pmcoa_5142378,Pmcoa_5585559,Pmcoa_4535358,Pmcoa_4825430,Pmcoa_5634739,Pmcoa_4566784,Pmcoa_5109000,Pmcoa_5311858,Pmcoa_5860693,Pmcoa_4872972,Pmcoa_5041393,Pmcoa_4895764,Pmcoa_5516381,Pmcoa_4012359,Pmcoa_4290027,Pmcoa_5859690,Pmcoa_5408901,Pmcoa_5535323,Pmcoa_5643734,Pmcoa_4989791,Pmcoa_5822925,Pmcoa_3978884"
"IL7","ARTHRITIS",91.1475568221498,7,"Pmcoa_2842969,Pmcoa_4482403,Medline_22676399,Pmcoa_3446520,Medline_17038478,Pmcoa_4633446,Pmcoa_5074717"
"PTGES","ARTHRITIS",87.0360711421112,14,"Pmcoa_5443184,Medline_28711625,Patent_EP3230278A1,Patent_EP3221304A1,Patent_US20170326128,Patent_WO2016069374A1,Patent_WO2016069376A1,Medline_24055573,Patent_EP1814385A2,Patent_US20090217396,Medline_21266028,Pmcoa_3546456,Medline_15910650,Patent_EP2746265B1"
"NOG","ARTHRITIS",76.9274947887044,4,"Pmcoa_1906799,Pmcoa_2834117,Medline_16729286,Patent_US20110150871"
"CDH11","ARTHRITIS",81.9069455488663,31,"Medline_17255475,Patent_EP2566967B1,Patent_EP3138915A1,Patent_EP2566967A1,Patent_US20110274703,Patent_US20150266955,Patent_US20130129668,Patent_US20170247469,Patent_US8877188,Patent_WO2011140173A1,Patent_WO2013033627A2,Patent_WO2016040510A1,Patent_WO2016100301A1,Pmcoa_2787282,Pmcoa_2688217,Medline_24681547,Pmcoa_4039224,Patent_EP2242769B1,Patent_EP2242769A2,Patent_US20090253200,Patent_US20110008323,Patent_US20130189251,Patent_US20140120104,Patent_US20150132305,Patent_US8591888,Patent_US20110045003,Patent_US7972846,Patent_WO2009089062A2,Patent_US9315568,Patent_US8940300,Pmcoa_2787299"
"ACAN","ARTHRITIS",85.3461948320232,57,"Medline_16584896,Pmcoa_3925549,Pmcoa_5074720,Medline_25382274,Medline_7538228,Medline_17444955,Medline_9627011,Medline_7518830,Patent_US20140038841,Patent_WO1998035235A1,Medline_10751421,Medline_9541498,Medline_10765982,Pmcoa_4965111,Patent_EP2989121A1,Patent_US20160158330,Patent_WO2014176604A1,Pmcoa_4260139,Patent_WO1996001847A1,Medline_11932252,Medline_23797671,Medline_15880348,Medline_15468069,Patent_EP2422814A1,Patent_EP1661580B1,Patent_EP1661580A1,Patent_US20070270489,Patent_US20120316241,Patent_US6391610,Pmcoa_128908,Pmcoa_1175049,Pmcoa_128909,Medline_11263784,Medline_15286393,Medline_19254958,Medline_21262368,Medline_7664487,Patent_US20020082297,Patent_US20020082296,Patent_US6433013,Patent_US7122577,Pmcoa_2714094,Patent_WO1998039025A2,Pmcoa_3521484,Pmcoa_2675029,Pmcoa_1065315,Patent_WO2010019034A1,Pmcoa_2592792,Pmcoa_2688253,Pmcoa_2704168,Pmcoa_4061931,Pmcoa_5294766,Pmcoa_3936819,Pmcoa_4745575,Medline_9777960,Pmcoa_1779431,Pmcoa_5740178"
"GGTLC1","ARTHRITIS",84.416617177824,4,"Medline_14455,Medline_14456,Medline_31141,Medline_17680722"
"SERPINA4","ARTHRITIS",86.2620524959858,5,"Medline_28808141,Pmcoa_4421925,Medline_15610905,Medline_15900628,Medline_15818689"
"RSPO1","ARTHRITIS",71.0849944996285,3,"Medline_20506554,Patent_US20150209407,Patent_WO2014059068A1"
"BP1","ARTHRITIS",67.0626979293392,9,"Medline_19664474,Patent_EP1282437B1,Patent_US20030069177,Patent_US20030211992,Patent_US20090011988,Patent_US20100130411,Patent_US7947650,Patent_US7423017,Patent_US8110548"
"CD55","ARTHRITIS",82.6934033120352,5,"Patent_US20060246066,Patent_WO2009095925A2,Medline_20131275,Pmcoa_5833118,Pmcoa_4325944"
"MAP2K3","ARTHRITIS",79.9426416779417,4,"Medline_16567640,Medline_19561096,Pmcoa_3882259,Pmcoa_4030013"
"IL6ST","ARTHRITIS",85.5176758790378,5,"Pmcoa_3239343,Patent_EP1308727A1,Pmcoa_3176402,Medline_16646038,Pmcoa_5850827"
"SLPI","ARTHRITIS",82.9705323892492,3,"Medline_10449524,Pmcoa_2195606,Pmcoa_1064886"
"KNG1","ARTHRITIS",86.1735965250529,5,"Medline_11930961,Pmcoa_1781638,Patent_WO2007142431A1,Patent_US20150320761,Pmcoa_4421925"
"ANG","ARTHRITIS",85.3341266572492,4,"Medline_12653852,Pmcoa_4997264,Medline_8724206,Pmcoa_5701946"
"SH2B2","ARTHRITIS",85.3261853258288,6,"Medline_8406862,Medline_1834576,Patent_US6159460,Medline_1428123,Medline_8513508,Medline_9214434"
"CHI3L2","ARTHRITIS",75.3621683773214,3,"Pmcoa_3942647,Pmcoa_2717817,Medline_12102470"
"VSIG4","ARTHRITIS",77.5267391802367,15,"Patent_EP2280996A2,Patent_EP2280996B1,Patent_EP3141560A2,Patent_US20100150908,Patent_US20160008427,Patent_US9234024,Medline_16882875,Patent_EP2024391A2,Patent_US20080045697,Patent_US20090162356,Patent_US7776573,Patent_US7930109,Pmcoa_2118595,Patent_WO2008036135A2,Pmcoa_2071951"
"CD97","ARTHRITIS",81.3574187267133,5,"Medline_20131275,Pmcoa_1779430,Medline_19717518,Pmcoa_3526421,Medline_17007638"
"PIK3CG","ARTHRITIS",82.7632487961126,20,"Medline_19734303,Patent_US20130267521,Patent_US20150111874,Patent_US20150105385,Patent_US20150225410,Patent_US9359365,Patent_US20170369511,Patent_US20170088553,Patent_US20160207940,Patent_US9751888,Patent_US9255108,Patent_US20160222016,Patent_US8940742,Patent_US9828377,Patent_WO2016054491A1,Patent_WO2017214269A1,Medline_16127437,Patent_EP2015752B1,Patent_EP2004654B1,Patent_US20130225629"
"BCL2L1","ARTHRITIS",86.5104772288967,7,"Patent_US20090232829,Patent_US20140056919,Patent_US8580755,Pmcoa_2888221,Medline_20384988,Pmcoa_3446442,Pmcoa_4125784"
"ITGA1","ARTHRITIS",70.4793864474112,3,"Patent_US20140017261,Patent_US20160340433,Medline_1827128"
"PYCARD","ARTHRITIS",86.1203183161642,4,"Medline_19717512,Pmcoa_5564741,Medline_26210906,Pmcoa_4515315"
"F8","ARTHRITIS",80.4758664986627,13,"Medline_19781067,Pmcoa_2787264,Patent_EP1724286A1,Patent_US20090104202,Patent_US20060019340,Patent_US20090093053,Patent_US7534605,Patent_US20110207678,Patent_US8193311,Patent_US7883857,Patent_US7901909,Medline_29438784,Pmcoa_3978877"
"FCGRT","ARTHRITIS",80.9265816383627,3,"Medline_21690327,Pmcoa_1175042,Medline_20139274"
"FSTL1","ARTHRITIS",88.7023830224086,18,"Pmcoa_3334643,Pmcoa_3241361,Pmcoa_3857907,Pmcoa_4407312,Medline_20860622,Patent_US20070253962,Patent_US20110274698,Patent_US7972599,Patent_US8334274,Medline_24768929,Medline_22006268,Medline_21303509,Medline_22117761,Pmcoa_5372617,Medline_19109154,Pmcoa_4856269,Patent_US20170260128,Patent_WO2017160709A1"
"NMU","ARTHRITIS",70.1310113358048,4,"Pmcoa_3392824,Patent_US20110165144,Patent_WO2008022113A2,Medline_22314006"
"MIA","ARTHRITIS",85.1118420422341,16,"Pmcoa_4722186,Pmcoa_5822925,Pmcoa_5010669,Patent_EP3254685A1,Patent_EP3169347A1,Patent_US20130337080,Patent_US20180000776,Patent_WO2001070253A1,Patent_WO2009104900A2,Patent_WO2009104901A2,Patent_WO2016009222A1,Pmcoa_2575604,Pmcoa_5103600,Pmcoa_5569523,Pmcoa_4564012,Medline_24287514"
"KIR3DL2","ARTHRITIS",77.0038123679713,3,"Medline_12057023,Pmcoa_116578,Pmcoa_4547710"
"IL1R1","ARTHRITIS",78.2924687730261,15,"Pmcoa_2193870,Medline_12591910,Patent_EP2406280B1,Patent_EP2658550A1,Patent_EP2754668A2,Patent_US20130045212,Patent_US20150241429,Patent_US20170009228,Patent_US20160039919,Patent_WO2015104564A2,Patent_WO2012090005A1,Patent_US20040241141,Patent_US20070190030,Patent_WO2002083080A2,Patent_US20050142539"
"SEMA3A","ARTHRITIS",83.2687504967164,3,"Pmcoa_5630410,Medline_22697500,Pmcoa_3446531"
"TNFAIP6","ARTHRITIS",83.5642482243926,10,"Patent_US20160075750,Pmcoa_4721919,Pmcoa_165059,Medline_11696432,Patent_EP0567575B1,Patent_US20150355180,Patent_WO2014059178A1,Patent_EP1758607A1,Patent_US20070191269,Patent_WO2005060988A1"
"ITGAX","ARTHRITIS",86.550447117074,4,"Medline_12794839,Medline_25963626,Patent_US20160030538,Pmcoa_4429912"
"FLT3","ARTHRITIS",81.3994345668272,7,"Medline_23349985,Pmcoa_3549988,Medline_18982072,Pmcoa_2575855,Patent_EP2694515B1,Patent_US20150210696,Patent_US9284318"
"LTB","ARTHRITIS",83.7572841584368,12,"Patent_US5187286,Patent_US5440044,Patent_US5183925,Patent_US5196570,Patent_US5614634,Patent_US5541202,Patent_US5352701,Patent_US5414016,Patent_US5502075,Medline_18475706,Medline_19220287,Patent_US20020006922"
"MAP2K6","ARTHRITIS",77.0396143552458,4,"Medline_21953132,Medline_19561096,Pmcoa_3882259,Pmcoa_4030013"
"PRG4","ARTHRITIS",80.4856623913016,3,"Medline_17143906,Medline_18512776,Medline_25382274"
"IGKV2D-29","ARTHRITIS",76.3435814576652,4,"Pmcoa_3444801,Patent_EP0262710A1,Patent_EP0262710B1,Medline_15013106"
"PTGER2","ARTHRITIS",84.4655144379569,8,"Medline_16446378,Patent_US20150323528,Pmcoa_2118213,Patent_US9526782,Pmcoa_3859365,Patent_WO2017085198A1,Patent_WO2010009403A2,Pmcoa_3335257"
"PDLIM4","ARTHRITIS",86.6402139096356,5,"Medline_20139274,Medline_15147345,Medline_20581146,Pmcoa_3798782,Pmcoa_5560174"
"LTB4R","ARTHRITIS",87.032394865116,6,"Pmcoa_2118298,Medline_16670336,Medline_20656922,Medline_29042029,Pmcoa_4502828,Patent_US20110059885"
"BCL2L11","ARTHRITIS",83.4551122841144,5,"Pmcoa_3674653,Medline_20112357,Patent_US20080234178,Patent_US8785388,Medline_17009248"
"FOS","ARTHRITIS",84.9560139759612,3,"Medline_20950869,Pmcoa_2976746,Medline_16437739"
"FST","ARTHRITIS",82.3700130457032,3,"Medline_25574420,Pmcoa_4276300,Pmcoa_5829464"
"CIT","ARTHRITIS",79.4176225362064,9,"Patent_EP2968435A1,Patent_US20160024183,Patent_WO2014141244A1,Pmcoa_5497640,Pmcoa_1174941,Medline_15899032,Patent_EP1946109B1,Patent_US20090325884,Pmcoa_4637280"
"CEL","ARTHRITIS",79.7050690803062,12,"Medline_23071697,Patent_EP2416803B1,Patent_EP3061463A1,Patent_US20140099323,Patent_US20120093829,Patent_US20160096899,Patent_US8597650,Patent_US9168299,Pmcoa_3469624,Patent_EP2254588A2,Patent_WO2009114869A2,Medline_20074669"
"STEAP4","ARTHRITIS",76.5017708857383,3,"Medline_22886597,Medline_27995997,Pmcoa_5171802"
"CYBB","ARTHRITIS",85.2195320114052,4,"Pmcoa_4237797,Medline_22642907,Medline_21593419,Pmcoa_4624247"
"MAP3K7","ARTHRITIS",84.2480572188955,4,"Medline_23390530,Patent_US9505765,Pmcoa_2206340,Pmcoa_3563527"
"MTA2","ARTHRITIS",77.9722410660504,3,"Pmcoa_3849883,Pmcoa_5461530,Medline_16376804"
"MASP1","ARTHRITIS",67.7021673056054,32,"Patent_EP3151845A2,Patent_WO2015187992A2,Medline_25070856,Patent_EP2007425A2,Patent_EP2007425B1,Patent_EP3150635A2,Patent_US20070172483,Patent_EP2488203A1,Patent_EP2488203B1,Patent_EP3058951A1,Patent_EP3067067A1,Patent_EP2861246A2,Patent_US20130266559,Patent_US20110311549,Patent_US20160272727,Patent_US20100074899,Patent_US20130344073,Patent_US20170233493,Patent_US20150064176,Patent_US20110091450,Patent_US20140056873,Patent_US20110020337,Patent_US20140205598,Patent_US8840893,Patent_US7919094,Patent_US20170166660,Patent_US20170233494,Patent_US8652477,Patent_WO2007117996A2,Patent_WO2013192240A2,Patent_WO2011047346A1,Patent_US20170209549"
"PRKAB1","ARTHRITIS",84.2677056984966,3,"Pmcoa_4608670,Medline_26474486,Pmcoa_5220236"
"FGF21","ARTHRITIS",84.1937537503069,3,"Medline_28273637,Medline_25601498,Medline_26424095"
"BIRC5","ARTHRITIS",85.0506321195302,5,"Pmcoa_4652986,Medline_17635796,Pmcoa_5428713,Pmcoa_4516528,Medline_25381389"
"TMED1","ARTHRITIS",78.6432046681093,4,"Medline_21529288,Patent_US20100247442,Patent_US7879978,Medline_19918048"
"F2RL3","ARTHRITIS",70.5716101217542,3,"Medline_19248120,Pmcoa_3842752,Patent_WO2017184520A1"
"MAPK13","ARTHRITIS",78.8805772812078,3,"Medline_24782184,Pmcoa_4949465,Pmcoa_4830812"
"SLC16A4","ARTHRITIS",66.4487690502249,3,"Medline_26213210,Patent_US20160362378,Patent_WO2016201426A1"
"CLEC12A","ARTHRITIS",68.9845216473197,3,"Patent_WO2015150815A1,Pmcoa_4941174,Medline_26275430"
"SERPINA5","ARTHRITIS",74.3226442159199,5,"Patent_WO2015050703A1,Pmcoa_3239353,Patent_US20130273063,Patent_US9371567,Medline_21752263"
"MAPK14","ARTHRITIS",87.455847446582,4,"Pmcoa_2235846,Pmcoa_1860061,Medline_28674435,Medline_22488549"
"ADAMTS12","ARTHRITIS",79.5878148162686,4,"Pmcoa_4020202,Pmcoa_4677222,Medline_22505177,Pmcoa_5074720"
"ADORA2A","ARTHRITIS",84.4542914027016,3,"Pmcoa_4609967,Medline_23283732,Pmcoa_5622197"
"MIR26A1","ARTHRITIS",80.4021148755894,3,"Pmcoa_3977468,Pmcoa_3978458,Medline_24423102"
"RHBDF2","ARTHRITIS",69.6795546206166,4,"Patent_US20150241429,Patent_WO2014043223A1,Pmcoa_4278852,Medline_23348744"
"ADAMTS5","ARTHRITIS",81.2246187446768,5,"Pmcoa_4289229,Pmcoa_4053306,Pmcoa_5074720,Pmcoa_5113859,Medline_21365186"
"RHOB","ARTHRITIS",67.8134991414825,5,"Medline_28882929,Pmcoa_5719251,Patent_EP2741771A2,Patent_US20140227279,Patent_WO2013023059A2"
"AIM2","ARTHRITIS",82.1524399763855,3,"Pmcoa_2787278,Medline_26114879,Pmcoa_4482750"
"ORAI1","ARTHRITIS",73.6871988889516,3,"Patent_EP3178931A1,Patent_US20170226203,Medline_28258822"
"C1QTNF6","ARTHRITIS",67.9789317465994,5,"Patent_US20140194343,Patent_US9175054,Pmcoa_4598845,Medline_26404464,Patent_EP2708233A1"
"MMP8","ARTHRITIS",85.9404382762813,6,"Pmcoa_5421920,Medline_26923061,Pmcoa_3046537,Patent_EP3069726A1,Patent_US20160287669,Pmcoa_4961809"
"IDO1","ARTHRITIS",86.0739118893147,7,"Pmcoa_3781305,Pmcoa_4863962,Pmcoa_4277413,Medline_27647832,Patent_US20170273961,Patent_US20160046596,Patent_US9815811"
"CARD9","ARTHRITIS",80.3114206952302,3,"Pmcoa_5833731,Medline_27032818,Pmcoa_4821996"
"PADI2","ARTHRITIS",74.2177377827402,3,"Pmcoa_4957385,Pmcoa_4876390,Medline_28188029"
"IDO2","ARTHRITIS",77.6682682546174,7,"Medline_28223071,Pmcoa_5839022,Patent_US20170273961,Patent_US20160046596,Patent_US9815811,Pmcoa_4315104,Medline_27183624"
"KLKB1","ARTHRITIS",71.9395194264308,13,"Pmcoa_4421925,Patent_EP3261639A1,Patent_EP3194369A1,Patent_US20170267656,Patent_US20170258775,Patent_US20160251341,Patent_US20160024047,Patent_US20170065570,Patent_US9533970,Patent_US9687479,Patent_WO2016138532A1,Patent_WO2016044662A1,Medline_7896018"
"SETBP1","ARTHRITIS",73.1230409031266,3,"Patent_US20060024322,Medline_8759766,Patent_EP1055429A1"
"RIPK3","ARTHRITIS",86.4827523856691,4,"Pmcoa_5809454,Pmcoa_4346630,Pmcoa_5628498,Medline_29434332"
"NPTX1","ARTHRITIS",74.7186734041204,3,"Medline_9730889,Pmcoa_2213380,Pmcoa_2195834"
"SDC4","ARTHRITIS",83.3442286154307,7,"Patent_EP2420250A1,Patent_EP2603236A1,Patent_US20130324698,Patent_WO2012020072A1,Pmcoa_4227035,Pmcoa_3332460,Pmcoa_5652455"
"OLR1","ARTHRITIS",81.3692939828983,3,"Pmcoa_5806501,Pmcoa_4700773,Medline_29569871"
"MIR10A","ARTHRITIS",78.3482060558054,3,"Medline_28782180,Pmcoa_5742673,Pmcoa_5897746"
"TBX5","ARTHRITIS",73.1413905990054,3,"Pmcoa_5742673,Medline_28782180,Pmcoa_5897746"
"CTSL","ARTHRITIS",74.411546464773,4,"Medline_3377966,Patent_EP2723387A1,Patent_WO2012175223A1,Patent_US20030036102"
"BCKDHA","ARTHRITIS",69.2008468483928,3,"Pmcoa_3564160,Patent_EP3189859A1,Patent_US9216201"
"STAT5A","ARTHRITIS",74.7719102942506,4,"Patent_EP3198007A1,Patent_US20170219581,Patent_WO2016048247A1,Pmcoa_5655015"
"PRDX2","ARTHRITIS",74.6469026469446,5,"Pmcoa_3218887,Patent_EP2708534A1,Patent_EP2708534B1,Patent_US20140148600,Patent_US9216962"
"C10ORF54","ARTHRITIS",65.047242868768,3,"Pmcoa_5721690,Patent_US20040152105,Patent_WO2004022594A2"
"MMP14","ARTHRITIS",82.3480310046317,3,"Pmcoa_4773521,Pmcoa_4738413,Patent_US20070217997"
"DNASE2","ARTHRITIS",68.2602563208456,6,"Patent_US20110158905,Patent_US20170088635,Patent_US20150024458,Patent_US9550838,Patent_US8883160,Pmcoa_4482750"
"TWIST1","ARTHRITIS",79.3709927015258,3,"Pmcoa_2525586,Patent_US20110045004,Pmcoa_2525589"
"MAP3K14","ARTHRITIS",81.6403258303447,4,"Pmcoa_3508891,Pmcoa_4384681,Patent_US20110183975,Patent_WO2010042337A1"
"MSH5","ARTHRITIS",74.4821716887366,3,"Pmcoa_2211803,Pmcoa_5719251,Patent_US20140227279"
"PLA2G10","ARTHRITIS",83.6385459821697,3,"Pmcoa_3058614,Patent_WO2010009403A2,Pmcoa_416452"
"SOD3","ARTHRITIS",85.1901541775749,3,"Pmcoa_2504532,Pmcoa_3465746,Pmcoa_3317049"
"SPG7","ARTHRITIS",79.0717363793553,3,"Pmcoa_64849,Pmcoa_1794521,Pmcoa_5171823"
"FLT3LG","ARTHRITIS",85.0663421364664,3,"Pmcoa_3549988,Pmcoa_2575855,Pmcoa_3978611"
"CLEC5A","ARTHRITIS",82.9393291234626,3,"Pmcoa_3897620,Pmcoa_3526405,Pmcoa_2839155"
"ITGA2","ARTHRITIS",83.2337075716376,4,"Pmcoa_3897642,Pmcoa_5486014,Pmcoa_5768345,Pmcoa_5593457"
"SIK3","ARTHRITIS",77.8460942080325,3,"Pmcoa_1860067,Pmcoa_3978877,Pmcoa_3226451"
"MAPK12","ARTHRITIS",80.2338591065102,3,"Pmcoa_4830812,Pmcoa_4949465,Pmcoa_4890989"
"ADCYAP1","ARTHRITIS",81.089127448378,2,"Medline_12794054,Medline_11544304"
"TIMP4","ARTHRITIS",70.2085433314765,2,"Medline_12483743,Pmcoa_2275302"
"MARCKSL1","ARTHRITIS",67.3863031499184,2,"Medline_12794836,Pmcoa_3978554"
"CST4","ARTHRITIS",66.9805635618516,2,"Medline_15642138,Pmcoa_1064893"
"FHL2","ARTHRITIS",69.8250197304641,2,"Pmcoa_1526550,Medline_16184196"
"TCIRG1","ARTHRITIS",85.0962878646186,2,"Medline_16542376,Medline_23097751"
"NOS1","ARTHRITIS",74.1470405994996,2,"Pmcoa_4602262,Medline_16437739"
"PRKCQ","ARTHRITIS",69.4121283941691,2,"Medline_19689371,Pmcoa_2834000"
"GHSR","ARTHRITIS",78.8083796327189,2,"Medline_28636167,Medline_16030067"
"TRPA1","ARTHRITIS",74.1044905514959,2,"Pmcoa_5057243,Medline_21360511"
"KLF2","ARTHRITIS",71.1169737577195,2,"Medline_22280353,Pmcoa_5713352"
"ICOSLG","ARTHRITIS",75.5535703380903,2,"Pmcoa_5845716,Medline_24449576"
"DRD2","ARTHRITIS",71.7495138628283,2,"Medline_26693483,Pmcoa_4677027"
"TNFRSF18","ARTHRITIS",74.5240662151395,2,"Pmcoa_3202109,Medline_27106763"
"TRPV3","ARTHRITIS",70.6535524872283,2,"Pmcoa_4981835,Medline_27563416"
"F2R","ARTHRITIS",76.3406686442559,2,"Pmcoa_3872103,Medline_15818676"
"GRK6","ARTHRITIS",68.6978041953697,2,"Medline_18662895,Pmcoa_4560643"
"B3GAT1","ARTHRITIS",73.4478524292226,2,"Medline_22687356,Pmcoa_17819"
"CORT","ARTHRITIS",80.2671073764378,2,"Medline_28636167,Medline_23371349"
"TNFSF18","ARTHRITIS",73.6970127022215,2,"Pmcoa_4890989,Medline_26657118"
"SPHK1","ARTHRITIS",84.5214935700561,2,"Medline_19596980,Medline_20644167"
"ADRBK1","ARTHRITIS",72.2049358453,2,"Medline_18662895,Pmcoa_4832233"
"CTSC","ARTHRITIS",80.9789240881918,2,"Medline_28665049,Medline_27771442"
"INHBE","ARTHRITIS",76.4703558976905,2,"Medline_25574420,Pmcoa_4276300"
"NPPB","ARTHRITIS",72.7172197170615,2,"Medline_23511225,Pmcoa_3963600"
"HK1","ARTHRITIS",70.0736373115104,2,"Medline_22687356,Pmcoa_3238219"
"SPHK2","ARTHRITIS",81.3389679517412,2,"Medline_23011090,Medline_23881266"
"ADAMTS4","ARTHRITIS",69.2607080752373,2,"Pmcoa_4289229,Medline_21365186"
"DLL1","ARTHRITIS",69.3701832575644,2,"Pmcoa_3446412,Medline_22390640"
"NPS","ARTHRITIS",68.4936095352877,2,"Pmcoa_4046088,Medline_24884567"
"VEGFC","ARTHRITIS",73.3607395466491,2,"Pmcoa_5009676,Medline_21538325"
"MSTN","ARTHRITIS",71.5308574856128,2,"Pmcoa_5134126,Medline_26260762"
"UNC5B","ARTHRITIS",69.8437489969834,2,"Patent_US20170360888,Medline_27502509"
"GSN","ARTHRITIS",74.2903472692175,2,"Patent_WO2017093048A1,Medline_28242648"
"SLC19A1","ARTHRITIS",68.3351716018718,2,"Medline_22546471,Pmcoa_3446470"
"CXCR6","ARTHRITIS",73.2545807677806,2,"Pmcoa_4060463,Medline_25132679"
"CTHRC1","ARTHRITIS",68.4685442339511,2,"Pmcoa_4950773,Medline_27430622"
"OPRM1","ARTHRITIS",72.2331611200363,2,"Medline_27857662,Pmcoa_5109000"
"ACACA","ARTHRITIS",66.0119684659594,2,"Medline_28679953,Pmcoa_2646582"
"NTN1","ARTHRITIS",76.2609244989083,2,"Patent_US20170360888,Medline_27502509"
"FZD8","ARTHRITIS",68.9008096758666,2,"Medline_25619565,Pmcoa_5130033"
"AMIGO2","ARTHRITIS",65.2308111332251,2,"Medline_27446084,Pmcoa_4922130"
"GZMA","ARTHRITIS",78.5822439187346,2,"Medline_27598995,Medline_28356507"
"NRD1","ARTHRITIS",63.5270669373989,2,"Medline_28955486,Pmcoa_5604610"
"MAP2K7","ARTHRITIS",75.3130703380693,2,"Pmcoa_3392838,Medline_28890347"
"SERPINA6","ARTHRITIS",69.0434354570294,2,"Medline_5865973,Patent_WO1993002691A1"
"CDK5R1","ARTHRITIS",69.165246253035,2,"Medline_9864212,Patent_US20060034862"
"RPL17","ARTHRITIS",69.6160042272308,2,"Pmcoa_5422858,Patent_US20040213761"
"C3AR1","ARTHRITIS",81.5369096034852,2,"Pmcoa_4540990,Pmcoa_2194257"
"DEK","ARTHRITIS",68.5223921097857,2,"Patent_WO2016145362A2,Pmcoa_5303823"
"CD38","ARTHRITIS",83.2942384602269,2,"Pmcoa_3306406,Pmcoa_4418770"
"BDKRB1","ARTHRITIS",81.7785270749685,2,"Pmcoa_2612656,Pmcoa_4421925"
"GSK3B","ARTHRITIS",85.2909092687163,2,"Pmcoa_2650783,Pmcoa_4277409"
"MC3R","ARTHRITIS",75.05146857995,2,"Pmcoa_3342072,Pmcoa_3022199"
"CTSH","ARTHRITIS",75.0004716949836,2,"Pmcoa_2646582,Pmcoa_4822049"
"MAS1","ARTHRITIS",81.6205284170641,2,"Pmcoa_3272821,Pmcoa_4997264"
"CD68","ARTHRITIS",83.187929481597,2,"Pmcoa_5766997,Pmcoa_4515598"
"ADRB2","ARTHRITIS",84.7593452618886,2,"Pmcoa_4127464,Pmcoa_4832233"
"DUSP2","ARTHRITIS",76.6632442060048,2,"Pmcoa_4222916,Pmcoa_5760626"
"CYCS","ARTHRITIS",82.5054008332597,2,"Pmcoa_4951490,Pmcoa_4226164"
"ENPP2","ARTHRITIS",82.8757401287742,2,"Pmcoa_3348105,Pmcoa_4203966"
