"Drug","Gene","ICD","gene_ICD_ref","drug_gene_ref","keep_new"
"DUSIGITUMAB","IGF1R","PSORIASIS","Medline_10802619,Patent_EP1191941A1,Patent_US20050261230,Patent_US6900186,Patent_WO2000078341A1,Patent_EP1938819A2,Patent_EP1498121A1,Patent_US20040186169,Patent_US20090326248,Patent_US7662851,Patent_EP1597366B1,Patent_EP1597366A1,Patent_US20090286849,Patent_US20040171149,Patent_US20060234239,Patent_US20130096176,Patent_US20090111767,Patent_US8217017,Patent_US7468356,Patent_WO2004072284A1","Patent_US20160324962A1,Patent_US20160324962,Patent_EP3082859A1,Pmcoa_3845553,Medline_25193511","keep"
"ROBATUMUMAB","IGF1R","PSORIASIS","Medline_10802619,Patent_EP1191941A1,Patent_US20050261230,Patent_US6900186,Patent_WO2000078341A1,Patent_EP1938819A2,Patent_EP1498121A1,Patent_US20040186169,Patent_US20090326248,Patent_US7662851,Patent_EP1597366B1,Patent_EP1597366A1,Patent_US20090286849,Patent_US20040171149,Patent_US20060234239,Patent_US20130096176,Patent_US20090111767,Patent_US8217017,Patent_US7468356,Patent_WO2004072284A1","Medline_22188815,Pmcoa_4303167,Pmcoa_3081058,Medline_24905030,Medline_20124453,Pmcoa_4149550","keep"
"FIGITUMUMAB","IGF1R","PSORIASIS","Medline_10802619,Patent_EP1191941A1,Patent_US20050261230,Patent_US6900186,Patent_WO2000078341A1,Patent_EP1938819A2,Patent_EP1498121A1,Patent_US20040186169,Patent_US20090326248,Patent_US7662851,Patent_EP1597366B1,Patent_EP1597366A1,Patent_US20090286849,Patent_US20040171149,Patent_US20060234239,Patent_US20130096176,Patent_US20090111767,Patent_US8217017,Patent_US7468356,Patent_WO2004072284A1","Pmcoa_2920021,Pmcoa_3306383,Medline_27488947,Pmcoa_4973270,Pmcoa_4313785,Pmcoa_3359746,Pmcoa_4545894,Medline_26287334,Patent_WO2016004233A2","keep"
"CIXUTUMUMAB","IGF1R","PSORIASIS","Medline_10802619,Patent_EP1191941A1,Patent_US20050261230,Patent_US6900186,Patent_WO2000078341A1,Patent_EP1938819A2,Patent_EP1498121A1,Patent_US20040186169,Patent_US20090326248,Patent_US7662851,Patent_EP1597366B1,Patent_EP1597366A1,Patent_US20090286849,Patent_US20040171149,Patent_US20060234239,Patent_US20130096176,Patent_US20090111767,Patent_US8217017,Patent_US7468356,Patent_WO2004072284A1","Patent_US20140341922,Patent_US20140341922A1,Pmcoa_4059749,Medline_20166202,Medline_21450456,Pmcoa_4226664,Medline_24849545,Pmcoa_3022188,Pmcoa_3636761,Pmcoa_3563098,Pmcoa_3439855,Pmcoa_4253414,Pmcoa_3726753,Pmcoa_3590681,Pmcoa_6213641,Pmcoa_3514064,Pmcoa_5094996,Medline_25041791,Pmcoa_3344278,Medline_17875788,Pmcoa_3113372,Pmcoa_5996273,Medline_22323052,Pmcoa_4312119,Pmcoa_3425859,Patent_US07972600,Patent_US7972600,Pmcoa_4608384,Pmcoa_3938039,Medline_25543125,Pmcoa_6245538,Clinicaltrial_NCT00965250","keep"
"LANTUS","IGF1R","PSORIASIS","Medline_10802619,Patent_EP1191941A1,Patent_US20050261230,Patent_US6900186,Patent_WO2000078341A1,Patent_EP1938819A2,Patent_EP1498121A1,Patent_US20040186169,Patent_US20090326248,Patent_US7662851,Patent_EP1597366B1,Patent_EP1597366A1,Patent_US20090286849,Patent_US20040171149,Patent_US20060234239,Patent_US20130096176,Patent_US20090111767,Patent_US8217017,Patent_US7468356,Patent_WO2004072284A1","Medline_20730455,Pmcoa_3355935,Pmcoa_4219851,Pmcoa_3114335,Medline_14722023,Pmcoa_3699703,Pmcoa_3712049,Pmcoa_3581051,Medline_19153208,Pmcoa_4349771,Pmcoa_2832019,Pmcoa_4531810,Pmcoa_3960261","keep"
"LINSITINIB","IGF1R","PSORIASIS","Medline_10802619,Patent_EP1191941A1,Patent_US20050261230,Patent_US6900186,Patent_WO2000078341A1,Patent_EP1938819A2,Patent_EP1498121A1,Patent_US20040186169,Patent_US20090326248,Patent_US7662851,Patent_EP1597366B1,Patent_EP1597366A1,Patent_US20090286849,Patent_US20040171149,Patent_US20060234239,Patent_US20130096176,Patent_US20090111767,Patent_US8217017,Patent_US7468356,Patent_WO2004072284A1","Pmcoa_5302955,Patent_US20130158264,Pmcoa_4453276,Pmcoa_3356071,Pmcoa_5111065,Patent_US20110275644,Patent_US20110275644A1,Pmcoa_4419619,Pmcoa_3868504,Medline_29251331,Patent_US9943596,Pmcoa_5381259,Pmcoa_5934392,Patent_US20140154264A1,Patent_US20140303133,Pmcoa_5655304,Medline_27286459,Medline_30139840,Patent_EP3359157A1,Patent_US20120064072,Pmcoa_4741867,Pmcoa_5718000,Pmcoa_6345872,Medline_25483727,Medline_29207959,Patent_US20150269307,Patent_US20160144027,Patent_US20180259528A1,Pmcoa_5065953,Patent_US10064939,Patent_US20140154264,Patent_US20180203014A1,Patent_US20180280393,Medline_26956669,Patent_US09724393,Patent_US9632074,Patent_US9903855,Pmcoa_5834254,Patent_EP2350317A2,Patent_US20180203014,Pmcoa_3672007,Pmcoa_6197057,Patent_US20170258495,Patent_US20180125852,Pmcoa_4177604,Pmcoa_5094996,Pmcoa_5973613,Pmcoa_6026173,Medline_26561558,Patent_US20120064072A1,Patent_US20180280393A1,Patent_US8163509,Pmcoa_3302113,Pmcoa_4399020,Pmcoa_5226784,Patent_EP3253733A1,Patent_EP3285876A1,Patent_EP3294417A1,Pmcoa_4014081,Pmcoa_4246767,Pmcoa_4324539,Pmcoa_4598970,Pmcoa_5048293,Pmcoa_5814180,Medline_25573956,Patent_US20180125852A1,Pmcoa_3135278,Pmcoa_4887336,Pmcoa_5464869,Pmcoa_6314733,Medline_26429980,Patent_US20140303133A1,Patent_US20150269307A1,Patent_US20160144027A1,Patent_US20180028475A1,Patent_US20180259528,Pmcoa_4663284,Medline_24687941,Medline_24759003,Pmcoa_6335418,Patent_US09632074,Patent_US09903855,Patent_US9724393,Pmcoa_6169455,Clinicaltrial_NCT01013506,Medline_24161672,Medline_28440057,Patent_EP2780469A1,Pmcoa_3388245,Pmcoa_5216960,Pmcoa_6257058,Patent_US09943596,Patent_US20180028475,Pmcoa_3656383,Pmcoa_4835175,Pmcoa_5482604,Pmcoa_4164328,Pmcoa_6355913,Medline_22170383,Medline_29262576,Pmcoa_5226581,Pmcoa_5662764,Pmcoa_5031330,Pmcoa_4946092,Pmcoa_5732742,Medline_26041671,Pmcoa_6109055,Patent_US20110217309,Patent_US20110217309A1,Medline_21425998,Pmcoa_3717308,Pmcoa_3853032,Pmcoa_5482874,Patent_US8048621,Patent_US20120189641,Patent_EP2400985A2,Patent_US20120189641A1,Pmcoa_3141798,Pmcoa_4747355,Patent_US20130005733,Patent_US20130005733A1","keep"
"NIMOTUZUMAB","IGFBP3","AGE RELATED OSTEOPOROSIS","Pmcoa_4294440,Medline_25610822,Patent_US6518238,Patent_US6514937,Patent_WO1998036764A2,Patent_WO2000020024A2,Patent_WO2000006191A1","Medline_23232108,Pmcoa_3540017,Medline_22389159","keep"
"CETIRIZINE","KNG1","ARTHRITIS","Medline_11930961,Pmcoa_1781638,Patent_WO2007142431A1,Patent_US20150320761,Pmcoa_4421925","Medline_1362160,Medline_11003455,Medline_10782524,Medline_8886862","keep"
"RILOTUMUMAB","KRAS","CHRONIC ULCERATIVE COLITIS","Medline_2194896,Medline_1854618,Pmcoa_1977292,Medline_1350261","Medline_24919569,Pmcoa_5344276","keep"
"VX 950","KRAS","CHRONIC ULCERATIVE COLITIS","Medline_2194896,Medline_1854618,Pmcoa_1977292,Medline_1350261","Patent_EP1678202A1,Patent_EP1951748A2,Patent_WO2005042570A1,Patent_EP2392589A2,Patent_EP1678202B1,Patent_EP2392588A2,Patent_US20130344476,Patent_US7705138,Patent_US20070231262,Patent_US8501450,Patent_US20110244549,Patent_EP2392590A2,Medline_19505593,Patent_US7494660,Patent_US20110086006,Patent_US20090191555,Patent_US7884199,Patent_US20050136400,Patent_EP2016195A2,Patent_US20100028874,Patent_US8431615,Patent_EP1819336A2,Patent_US20060105978,Patent_WO2006050250A2,Patent_US20130101554,Patent_EP2280709A1,Patent_US20140127160,Patent_WO2010036799A1,Patent_EP2328656A1,Patent_WO2008144072A1,Patent_EP2157974A1,Patent_US20120045415,Patent_US8664273,Patent_EP2500021A1,Patent_US20100189688,Patent_US20110236351,Patent_US8871812,Patent_EP2374464A2,Patent_US20110059886,Patent_US20080267915,Pmcoa_2395260","keep"
"PHENYL ACID","LCN1","SJOGREN'S SYNDROME","Medline_16249071,Patent_WO2016194014A1","Medline_17945179,Medline_24043458","keep"
"EMTRICITABINE","LTB4R","ARTHRITIS","Pmcoa_2118298,Medline_16670336,Medline_20656922,Medline_29042029,Pmcoa_4502828,Patent_US20110059885","Pmcoa_3887103,Pmcoa_3380612,Pmcoa_2194746","keep"
"CISATRACURIUM","MAP1LC3A","FIBROMYALGIA","Medline_26772544,Pmcoa_4715288","Pmcoa_4848971,Medline_27058536","keep"
"GEDATOLISIB","MAP2K7","ARTHRITIS","Pmcoa_3392838,Medline_28890347","Pmcoa_4896852,Medline_22261591","keep"
"OTX 008","MAPK1","SCLERODERMA","Medline_27650973,Pmcoa_5030663,Medline_25889655,Pmcoa_3008687,Pmcoa_5811759,Patent_US20090221481","Patent_US20140243415,Pmcoa_5796159,Medline_25042151","keep"
"CARBOCISTEINE","MAPK1","SCLERODERMA","Medline_27650973,Pmcoa_5030663,Medline_25889655,Pmcoa_3008687,Pmcoa_5811759,Patent_US20090221481","Patent_US9216163,Patent_US09216163,Pmcoa_4857541,Medline_26997568,Medline_25533503","keep"
"4-(1,2-DIHYDROXYETHYL)BENZENE-1,2-DIOL","MAPK1","SCLERODERMA","Medline_27650973,Pmcoa_5030663,Medline_25889655,Pmcoa_3008687,Pmcoa_5811759,Patent_US20090221481","Pmcoa_3742461,Pmcoa_3485740","keep"
"ESTRAMUSTINE","MAPK1","SCLERODERMA","Medline_27650973,Pmcoa_5030663,Medline_25889655,Pmcoa_3008687,Pmcoa_5811759,Patent_US20090221481","Pmcoa_2375254,Medline_11720482","keep"
"ANGIOTENSIN 1-7","MAS1","ARTHRITIS","Pmcoa_3272821,Pmcoa_4997264","Medline_28194766,Pmcoa_5462406,Pmcoa_6202343,Pmcoa_4692500,Pmcoa_5747466,Pmcoa_4582995","keep"
"AT7519","MCL1","CROHN'S DISEASE","Medline_18266233,Medline_28190086","Pmcoa_4891027,Pmcoa_3940382","keep"
"CHEMBL2402737","MDM2","SYSTEMIC LUPUS ERYTHEMATOSUS","Medline_29324237,Pmcoa_4451996,Medline_26090506,Medline_21949095","Patent_US20160136280,Patent_EP3013316A1,Pmcoa_5814445,Patent_WO2014206866A1,Medline_29368050,Medline_27353420,Medline_29392451,Pmcoa_5652019,Medline_26993060,Medline_26586447,Pmcoa_5743003,Pmcoa_4924270,Pmcoa_5833874","keep"
"CHEMBL3186011","MDM2","SYSTEMIC LUPUS ERYTHEMATOSUS","Medline_29324237,Pmcoa_4451996,Medline_26090506,Medline_21949095","Pmcoa_3382884,Pmcoa_4737887","keep"
"RACECADOTRIL","MME","CHRONIC ULCERATIVE COLITIS","Medline_29232715,Pmcoa_5726735","Pmcoa_3362754,Medline_12106279,Medline_1348542,Medline_3121843,Patent_EP1718337A1,Medline_2018165,Medline_8488368,Patent_EP1563848A1,Medline_26907621,Medline_2758762,Medline_27642742,Medline_2780419,Patent_US8222294,Pmcoa_3085874,Medline_3131801,Patent_EP3212211A1,Medline_2612837,Medline_3532054,Medline_9355786,Pmcoa_4851326,Medline_10944563,Medline_1624154,Medline_1780043,Medline_2142087,Medline_2702924,Medline_2790459,Medline_7509244,Medline_1788138,Medline_19610134,Medline_3554169,Patent_US20070275993A1,Pmcoa_3694821,Medline_1285638,Medline_10646048,Medline_1350927,Medline_19300128,Medline_22661949,Medline_8804878,Medline_10717503,Medline_1666049,Medline_2716968,Medline_10646045,Medline_10717505,Patent_EP1718337B1,Pmcoa_3561631,Medline_2142086,Medline_3519939,Medline_1376694,Medline_27209450,Patent_US20180371007A1,Pmcoa_6356888,Medline_26731112,Pmcoa_3875871,Medline_1421123,Patent_US10022349,Patent_EP3331520A1,Patent_US20160120834,Patent_US20150342882,Patent_US20150342882A1,Medline_7473405","keep"
"CROMOLYN","MSN","SJOGREN'S SYNDROME","Medline_29557737,Patent_EP2624851B1,Patent_WO2012045273A1,Patent_US20130210678,Patent_US9632098,Patent_EP2624851A1","Medline_10945828,Patent_US20090062319A1,Patent_US8252807","keep"
"DOXORUBICIN HYDROCHLORIDE","MSN","SJOGREN'S SYNDROME","Medline_29557737,Patent_EP2624851B1,Patent_WO2012045273A1,Patent_US20130210678,Patent_US9632098,Patent_EP2624851A1","Medline_23598077,Medline_28776488,Pmcoa_4299401","keep"
"B 2050","NOS1","ARTHRITIS","Pmcoa_4602262,Medline_16437739","Medline_16023276,Medline_25046820","keep"
"CRYSTAL VIOLET SOLUTION","NOX1","CROHN'S DISEASE","Medline_24374371,Pmcoa_5148781,Pmcoa_4943970","Pmcoa_3977805,Pmcoa_5651112","keep"
